raw_affiliation_string,to add,ror_id
"
RWI – Leibniz Institute for Economic Research and University of Göttingen – Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
(Leibniz Institute for Baltic Sea Research; Carl-von-Ossietzky University,Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
". Department of Anesthesiology and Intensive Care Medicine, University Medical Center Goettingen, Goettingen, DEU",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
". Institute of Forest and Nature Conservation Policy, University of Goettingen, Goettingen D-37077, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
". Plastic and Reconstructive Surgery, Klinikum Bremen-Mitte, Gottingen University of Medical Science, Bremen, DEU",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"1) Forensic Medicine and Toxicology Department, Faculty of Veterinary Medicine, Mansoura University, Mansoura 35516, Egypt.

2) Department of Molecular Medicine and Medical Biotechnology, Fraunhofer Institute of Toxicology and Experimental Medicine, Hannover, Germany",Stiftung Tierärztliche Hochschule Hannover,https://ror.org/015qjqf64
"1. Medizinische Klinik und Poliklinik, Klinikum Rechts der Isar, Technische Universität München, Munich, Germany; Institute for Cardiovascular Prevention, Ludwigs-Maximilians-Universität München, Munich, Germany; Deutsches Primatenzentrum GmbH, Leibnitz-Institut für Primatenforschung, Laboratory Animal Science Unit, Göttingen, Germany; DZHK (German Center for Cardiovascular Research), partner site Munich Heart Alliance, Munich, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"120139 Deutsches Zentrum für Luft- und Raumfahrt DLR , Institut für Flugführung , Lilienthalplatz 7 , Braunschweig , Germany",Technische Universität Braunschweig,https://ror.org/010nsgg66
"15Department of Hematology and Medical Oncology, University Medical Center Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"1Department of Neurology, University Medicine Goettingen and the German Center for Neurodegenerative Diseases (DZNE), Robert-Koch -Straße 40, 37075 Göttingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"1Diabetes Centre for Children and Adolescents, Children’s and Youth Hospital Auf der Bult, Hanover Medical School, Hanover, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"1Fraunhofer IDMT, Project Group Hearing, Speech and Audio Technology, Cluster of Excellence ""Hearing4all,"" Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,https://ror.org/033n9gh91
"21Department of Genetic Epidemiology, University Medical Center Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"2Abteilung Geochemie, Universität Göttingen, 37077 Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
2Gottingen University Germany,Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"2Institute of Human Genetics, Medical School Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH),https://ror.org/00f2yqf98
"2TIB Leibniz Information Centre for Science and Technology. L3S Research Center, Hannover/DE",Gottfried Wilhelm Leibniz Universität Hannover,https://ror.org/0304hq317
"3Department of Hematology and Medical Oncology, University Medical Center Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"3J.F. Blumenbach Institute of Zoology and Anthropology. University of Göttingen. Untere Karspüle 2, Göttingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
"3University Medical Center Goettingen, Goettingen, Germany",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"3University Medicine Goettingen, Goettingen, Germany;",Universitätsmedizin Göttingen,https://ror.org/021ft0n22
"4 Department of Molecular Neurobiology, Max Planck Institute of Experimental Medicine, 37075 Gottingen, Germany",Georg-August-Universität Göttingen,https://ror.org/01y9bpm73
