raw_affiliation_string,to remove
"
Claudine Auger est journaliste.
",Technische Universität Clausthal
"
Docteure en neurosciences et journaliste à Oldenburg, en Allemagne.
",Carl von Ossietzky Universität Oldenburg
"
Docteure en neurosciences et journaliste, à Oldenburg en Allemagne.
",Carl von Ossietzky Universität Oldenburg
"
Université d’Hildesheim
",Stiftung Universität Hildesheim
"""Hearing4all"", Hannover Medi-cal School, Hanover, Germany,",Medizinische Hochschule Hannover (MHH)
( Hannover ) Der Physiker Huygens betrachtet unter dem Mikroskop seine,Gottfried Wilhelm Leibniz Universität Hannover
"(Research Associate), Georg-August-University, Faculty of Law, Chair for Roman Law, Civil Law and Modern Legal History, Göttingen, Germany",Georg-August-Universität Göttingen
"(current affiliation) Medicover MVZ Oldenburg, Oldenburg,
                    Germany",Carl von Ossietzky Universität Oldenburg
") Medical School Hannover, Department of Otorhinolaryngology, Hannover, Germany (",Medizinische Hochschule Hannover (MHH)
", Braunschweig, Deutschland",Hochschule für Bildende Künste Braunschweig
", Braunschweig, Deutschland",Technische Universität Braunschweig
", Braunschweig, Germany",Hochschule für Bildende Künste Braunschweig
", Braunschweig, Germany",Technische Universität Braunschweig
", Callinstr. 8, 30167, Hannover, Deutschland",Gottfried Wilhelm Leibniz Universität Hannover
", Carl-Neuberg-Str. 1, 30625, Hannover, Germany. Lubbad.Ahmed@mh-hannover.de",Medizinische Hochschule Hannover (MHH)
", Göttingen, Deutschland",Georg-August-Universität Göttingen
", Hannover, Deutschland. helmut.klein@heart.rochester.edu",Gottfried Wilhelm Leibniz Universität Hannover
", Hildesheim, Germany",Stiftung Universität Hildesheim
", Iburger Straße 116, D-49082, Osnabrück, Germany",Universität Osnabrück
", Mathis Prange et Christine Reinle dir., Göttingen, 2014, p. 143-161",Georg-August-Universität Göttingen
", Osnabrück, Germany",Hochschule Osnabrück
", Osnabrück, Germany",Universität Osnabrück
", Professor-Plücker-Str. 5, 38302, Wolfenbüttel, Deutschland. kira.maureen@hotmail.de",Ostfalia Hochschule für angewandte Wissenschaften
. Bd. 3. Osnabrück 1967,Universität Osnabrück
". Institute for Chemical Application Technology of JKI, Messeweg 11/12 D-38104 Braunschweig, Germany",Technische Universität Braunschweig
. hha@hst.aau.dk,Technische Universität Clausthal
"1 Braunschweig, Deutschland",Technische Universität Braunschweig
"10Gemeinschaftspraxis Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"11Department of Gastroenterology, Hepatology, and Endocrinology, Medizinische Hochschule, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"11Department of Pediatrics, University Medical Center Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"11Gynecology Practice, Hildesheim, Germany",Stiftung Universität Hildesheim
"12Practice of Gynecology and Oncology, Hildesheim, Hildesheim, Germany",Stiftung Universität Hildesheim
"13Gemeinschaftspraxis Hildesheim, Germany",Stiftung Universität Hildesheim
"13Hannover Medical School, Department of Haematology, Hemostasis, Oncology and Stem Cell Transplantation, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"13Klinikum Oldenburg, Abt. Onkologie/Hämatologie, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"14Medizinische Hochschule Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH)
"14Medizinische Hochschule Hannover, Hannover, Germany;",Medizinische Hochschule Hannover (MHH)
"15Department of Urology, University Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"15Klinikum Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg
"17Department of Haematology and Oncology, Göttingen, Germany",Universitätsmedizin Göttingen
"18Department of Obstetrics and Gynecology, Dedizinische Hochschule Hannover, and AGO, Hannover, Germany",Hochschule Hannover
"18Department of Oncology and Hematology, University Clinic Oldenburg, Oldenburg, DEU",Carl von Ossietzky Universität Oldenburg
"1Charité-Universitätsmedizin, Berlin",Universitätsmedizin Göttingen
"1Hannover Medical School, Hannover/DE",Medizinische Hochschule Hannover (MHH)
1McGovern Medical School,Medizinische Hochschule Hannover (MHH)
1st Physics Institute University of Göttingen  Göttingen 37077 Germany,Georg-August-Universität Göttingen
