inst_name,dfg_inst_id,ror_id
Leuphana Universität Lüneburg,10232,02w2y2t16
Carl von Ossietzky Universität Oldenburg,10233,033n9gh91
Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,10533,02vvvm705
Hochschule Emden/Leer,980710,01bc76c69
Gottfried Wilhelm Leibniz Universität Hannover,10238,0304hq317
"Hochschule für Musik, Theater und Medien Hannover",10246,00x67m532
Hochschule Hannover,10252,03m2kj587
Stiftung Tierärztliche Hochschule Hannover,10249,015qjqf64
Medizinische Hochschule Hannover (MHH),10247,00f2yqf98
Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen,10253,00f5q5839
Stiftung Universität Hildesheim,10235,02f9det96
Georg-August-Universität Göttingen,10236,01y9bpm73
Technische Universität Braunschweig,10240,010nsgg66
Hochschule für Bildende Künste Braunschweig,10251,03aft2f80
Ostfalia Hochschule für angewandte Wissenschaften,10254,01bk10867
Technische Universität Clausthal,10242,04qb8nc58
Universität Osnabrück,10244,04qmmjx98
Hochschule Osnabrück,10255,059vymd37
Universität Vechta,10597,045y6d111
