id,publication_year,in_oal_missing
https://openalex.org/W107125650,2020,set()
https://openalex.org/W112007689,2024,{None}
https://openalex.org/W1500095539,2024,{None}
https://openalex.org/W1505080550,2021,set()
https://openalex.org/W1507273895,2021,{None}
https://openalex.org/W1514040296,2020,set()
https://openalex.org/W1518443654,2023,set()
https://openalex.org/W1525019602,2021,set()
https://openalex.org/W1526842591,2021,{None}
https://openalex.org/W152792587,2020,set()
https://openalex.org/W1588441792,2020,set()
https://openalex.org/W1590239300,2022,set()
https://openalex.org/W159625246,2020,set()
https://openalex.org/W1603516831,2022,set()
https://openalex.org/W164571866,2021,set()
https://openalex.org/W167771710,2020,{'Gottfried Wilhelm Leibniz Universität Hannover'}
https://openalex.org/W173619620,2024,{'Leuphana Universität Lüneburg'}
https://openalex.org/W17584880,2021,{None}
https://openalex.org/W1762727245,2024,set()
https://openalex.org/W1776901482,2021,set()
https://openalex.org/W1826234198,2024,{'Carl von Ossietzky Universität Oldenburg'}
https://openalex.org/W183944963,2021,set()
https://openalex.org/W1865900895,2020,set()
https://openalex.org/W1918161788,2020,set()
https://openalex.org/W1919750199,2020,set()
https://openalex.org/W192689753,2021,set()
https://openalex.org/W1962918443,2024,set()
https://openalex.org/W1981650375,2024,set()
https://openalex.org/W2013396062,2024,set()
https://openalex.org/W2016255857,2024,set()
https://openalex.org/W2027095134,2024,{None}
https://openalex.org/W2044125355,2024,{None}
https://openalex.org/W2053422124,2021,set()
https://openalex.org/W208727967,2024,set()
https://openalex.org/W2096158041,2020,set()
https://openalex.org/W2096659513,2020,set()
https://openalex.org/W2107904677,2020,{'Gottfried Wilhelm Leibniz Universität Hannover'}
https://openalex.org/W2128012221,2024,set()
https://openalex.org/W2131363101,2024,set()
https://openalex.org/W2133802661,2024,set()
https://openalex.org/W2139877464,2020,set()
https://openalex.org/W2139955747,2024,set()
https://openalex.org/W215680835,2021,set()
https://openalex.org/W2165424625,2021,set()
https://openalex.org/W2170914992,2024,set()
https://openalex.org/W2178637876,2021,set()
https://openalex.org/W2188545486,2024,set()
https://openalex.org/W2251412558,2021,{'Fachhochschule für die Wirtschaft Hannover (FHDW)'}
https://openalex.org/W2255459430,2020,{None}
https://openalex.org/W2256430436,2023,set()
https://openalex.org/W2261575631,2021,{None}
https://openalex.org/W2277306507,2021,set()
https://openalex.org/W2277667450,2022,set()
https://openalex.org/W2285802666,2024,set()
https://openalex.org/W2288034397,2023,{'Gottfried Wilhelm Leibniz Universität Hannover'}
https://openalex.org/W2293360421,2020,{'Gottfried Wilhelm Leibniz Universität Hannover'}
https://openalex.org/W2296109937,2024,set()
https://openalex.org/W2313465059,2024,set()
https://openalex.org/W2313815752,2024,set()
https://openalex.org/W2313899032,2020,set()
https://openalex.org/W2317627205,2024,set()
https://openalex.org/W2324292492,2024,set()
https://openalex.org/W2327107414,2024,set()
https://openalex.org/W2331718026,2024,set()
https://openalex.org/W2331975803,2024,set()
https://openalex.org/W2333091465,2024,set()
https://openalex.org/W2335631512,2024,set()
https://openalex.org/W2335877976,2024,set()
https://openalex.org/W2336576451,2024,{None}
https://openalex.org/W2340624100,2020,{'Gottfried Wilhelm Leibniz Universität Hannover'}
https://openalex.org/W2341708280,2024,set()
https://openalex.org/W2342741390,2020,set()
https://openalex.org/W2345028735,2020,set()
https://openalex.org/W2396187297,2021,{'Gottfried Wilhelm Leibniz Universität Hannover'}
https://openalex.org/W2396880053,2024,set()
https://openalex.org/W2399282639,2024,set()
https://openalex.org/W2400190133,2020,set()
https://openalex.org/W2461084244,2020,{None}
https://openalex.org/W2462619985,2020,set()
https://openalex.org/W2466788633,2020,{None}
https://openalex.org/W2471744027,2020,set()
https://openalex.org/W2508768713,2020,{None}
https://openalex.org/W2510803049,2021,{'Gottfried Wilhelm Leibniz Universität Hannover'}
https://openalex.org/W2512880072,2021,set()
https://openalex.org/W2517625404,2021,{None}
https://openalex.org/W2527798555,2020,set()
https://openalex.org/W2528025417,2022,set()
https://openalex.org/W2530597339,2021,{None}
https://openalex.org/W2534767890,2022,set()
https://openalex.org/W2550467419,2022,set()
https://openalex.org/W2550770972,2020,{'Georg-August-Universität Göttingen'}
https://openalex.org/W2560504699,2021,set()
https://openalex.org/W2562581221,2020,{None}
https://openalex.org/W2562585004,2023,{None}
https://openalex.org/W2577185135,2020,set()
https://openalex.org/W2584152600,2020,set()
https://openalex.org/W2592113527,2022,set()
https://openalex.org/W2593673294,2020,set()
https://openalex.org/W2596307091,2020,set()
https://openalex.org/W2598762352,2020,set()
https://openalex.org/W2603420859,2020,set()
https://openalex.org/W2604557888,2022,set()
https://openalex.org/W2608837792,2020,{None}
https://openalex.org/W2612235761,2020,{None}
https://openalex.org/W2612404335,2020,set()
https://openalex.org/W2613311014,2020,set()
https://openalex.org/W2614130126,2020,set()
https://openalex.org/W2617537816,2021,{None}
https://openalex.org/W2618104232,2020,{'Fachhochschule für die Wirtschaft Hannover (FHDW)'}
https://openalex.org/W2624405578,2022,set()
https://openalex.org/W2635626549,2020,set()
https://openalex.org/W2696453363,2023,{None}
https://openalex.org/W2724302319,2020,{None}
https://openalex.org/W2729346269,2020,{None}
https://openalex.org/W2732479381,2020,set()
https://openalex.org/W2733235641,2023,{None}
https://openalex.org/W2737878695,2020,set()
https://openalex.org/W2745730687,2024,set()
https://openalex.org/W2748145879,2020,set()
https://openalex.org/W2748424697,2020,{None}
https://openalex.org/W2748500129,2023,{None}
https://openalex.org/W2750120268,2020,set()
https://openalex.org/W2752826363,2022,set()
https://openalex.org/W2756275928,2023,{None}
https://openalex.org/W2757461179,2022,{'Georg-August-Universität Göttingen'}
https://openalex.org/W2760952043,2020,{None}
https://openalex.org/W2762825799,2020,set()
https://openalex.org/W2765446779,2022,set()
https://openalex.org/W2765905580,2020,set()
https://openalex.org/W2767045149,2021,set()
https://openalex.org/W2767540588,2020,set()
https://openalex.org/W2767888935,2024,set()
https://openalex.org/W2769263100,2020,set()
https://openalex.org/W2769507632,2024,{None}
https://openalex.org/W2770483368,2020,set()
https://openalex.org/W2772110631,2021,{None}
https://openalex.org/W2781258644,2020,set()
https://openalex.org/W2782905495,2020,set()
https://openalex.org/W2784000588,2020,set()
https://openalex.org/W2784198129,2020,{None}
https://openalex.org/W2786268443,2020,set()
https://openalex.org/W2787008790,2020,set()
https://openalex.org/W2790869482,2020,set()
https://openalex.org/W2794008216,2021,set()
https://openalex.org/W2794572892,2022,{'Carl von Ossietzky Universität Oldenburg'}
https://openalex.org/W2794935155,2022,{'Carl von Ossietzky Universität Oldenburg'}
https://openalex.org/W2795216836,2022,{'Carl von Ossietzky Universität Oldenburg'}
https://openalex.org/W2795333883,2020,set()
https://openalex.org/W2798458510,2020,{None}
https://openalex.org/W2798847725,2020,set()
https://openalex.org/W2799841323,2020,set()
https://openalex.org/W2800792771,2020,set()
https://openalex.org/W2802377595,2020,set()
https://openalex.org/W2802431729,2020,set()
https://openalex.org/W2802536508,2020,{'Gottfried Wilhelm Leibniz Universität Hannover'}
https://openalex.org/W2802962252,2020,{'Fachhochschule für die Wirtschaft Hannover (FHDW)'}
https://openalex.org/W2803796536,2020,{None}
https://openalex.org/W2803989977,2021,set()
https://openalex.org/W2804159482,2020,set()
https://openalex.org/W2804784692,2023,set()
https://openalex.org/W2805043789,2021,{None}
https://openalex.org/W2807655072,2021,set()
https://openalex.org/W2807710787,2020,set()
https://openalex.org/W2808675637,2020,set()
https://openalex.org/W2809426978,2020,set()
https://openalex.org/W2809647450,2021,set()
https://openalex.org/W2810355493,2021,set()
https://openalex.org/W2810460765,2022,set()
https://openalex.org/W2810667529,2020,set()
https://openalex.org/W2810850043,2020,set()
https://openalex.org/W2846342803,2020,set()
https://openalex.org/W2883004963,2020,{None}
https://openalex.org/W2884035063,2020,set()
https://openalex.org/W2884454508,2020,set()
https://openalex.org/W2884714676,2020,set()
https://openalex.org/W2885946165,2020,set()
https://openalex.org/W2886261673,2024,set()
https://openalex.org/W2887397961,2021,set()
https://openalex.org/W2887852005,2021,set()
https://openalex.org/W2887882077,2021,set()
https://openalex.org/W2887900605,2024,set()
https://openalex.org/W2888959731,2021,set()
https://openalex.org/W2889469153,2020,set()
https://openalex.org/W2889539765,2021,set()
https://openalex.org/W2889585832,2021,set()
https://openalex.org/W2890222145,2021,set()
https://openalex.org/W2890322550,2020,set()
https://openalex.org/W2890923959,2021,set()
https://openalex.org/W2891826905,2021,{None}
https://openalex.org/W2892081861,2023,{None}
https://openalex.org/W2892196376,2020,set()
https://openalex.org/W2892718403,2020,set()
https://openalex.org/W2893374932,2021,set()
https://openalex.org/W2894480604,2020,set()
https://openalex.org/W2894490567,2021,set()
https://openalex.org/W2895164098,2020,set()
https://openalex.org/W2895180888,2023,set()
https://openalex.org/W2895302476,2020,{None}
https://openalex.org/W2895921324,2021,{None}
https://openalex.org/W2896453039,2022,set()
https://openalex.org/W2899925003,2020,{None}
https://openalex.org/W2900110986,2020,set()
https://openalex.org/W2901003025,2021,{None}
https://openalex.org/W2901094461,2020,{None}
https://openalex.org/W2902291819,2020,set()
https://openalex.org/W2902960646,2024,set()
https://openalex.org/W2903305514,2020,set()
https://openalex.org/W2903315320,2024,{None}
https://openalex.org/W2903446642,2020,set()
https://openalex.org/W2903671730,2020,{None}
https://openalex.org/W2904120111,2020,{None}
https://openalex.org/W2904534165,2020,set()
https://openalex.org/W2904719712,2020,{None}
https://openalex.org/W2906504646,2020,{None}
https://openalex.org/W2907313364,2021,set()
https://openalex.org/W2908108546,2022,set()
https://openalex.org/W2908345197,2020,{None}
https://openalex.org/W2908821613,2020,set()
https://openalex.org/W2910094941,2022,set()
https://openalex.org/W2911507095,2020,set()
https://openalex.org/W2912103742,2020,{None}
https://openalex.org/W2912520279,2020,{'Carl von Ossietzky Universität Oldenburg'}
https://openalex.org/W2912632263,2022,{None}
https://openalex.org/W2912827817,2020,{None}
https://openalex.org/W2912978056,2020,set()
https://openalex.org/W2913222727,2020,set()
https://openalex.org/W2913505407,2022,{None}
https://openalex.org/W2913574576,2020,{None}
https://openalex.org/W2913804507,2020,set()
https://openalex.org/W2914881128,2020,set()
https://openalex.org/W2915405535,2020,set()
https://openalex.org/W2915416108,2020,set()
https://openalex.org/W2915793069,2020,set()
https://openalex.org/W2916088677,2020,{'Georg-August-Universität Göttingen'}
https://openalex.org/W2916332763,2020,set()
https://openalex.org/W2916567338,2020,set()
https://openalex.org/W2918570500,2020,set()
https://openalex.org/W2918994056,2022,set()
https://openalex.org/W2919365246,2020,set()
https://openalex.org/W2919653902,2024,{None}
https://openalex.org/W2920017268,2020,set()
https://openalex.org/W2920588343,2022,{'Carl von Ossietzky Universität Oldenburg'}
https://openalex.org/W2921491475,2020,{None}
https://openalex.org/W2921869257,2020,set()
https://openalex.org/W2921896177,2020,{None}
https://openalex.org/W2921911770,2020,"{'Laser Zentrum Hannover e.V. (LZH)', 'Technische Universität Braunschweig'}"
https://openalex.org/W2922216725,2021,set()
https://openalex.org/W2922249263,2022,set()
https://openalex.org/W2922349475,2020,set()
https://openalex.org/W2924728088,2024,{None}
https://openalex.org/W2924823465,2020,set()
https://openalex.org/W2924874223,2020,set()
https://openalex.org/W2924893278,2020,set()
https://openalex.org/W2927899951,2020,set()
https://openalex.org/W2932811574,2022,{None}
https://openalex.org/W2932996678,2021,set()
https://openalex.org/W2935740978,2022,{None}
https://openalex.org/W2935960864,2020,set()
https://openalex.org/W2936257342,2020,{'Deutsches Primatenzentrum GmbH - Leibniz-Institut für Primatenforschung (DPZ)'}
https://openalex.org/W2936380791,2023,{'Gottfried Wilhelm Leibniz Universität Hannover'}
https://openalex.org/W2936580662,2020,set()
https://openalex.org/W2936746989,2020,set()
https://openalex.org/W2936986777,2023,set()
https://openalex.org/W2937365979,2022,set()
https://openalex.org/W2938222539,2020,set()
https://openalex.org/W2938614657,2020,set()
https://openalex.org/W2938752270,2020,set()
https://openalex.org/W2940748923,2020,set()
https://openalex.org/W2941057315,2022,set()
https://openalex.org/W2941308050,2020,{None}
https://openalex.org/W2941816333,2023,set()
https://openalex.org/W2941888805,2023,set()
https://openalex.org/W2941914075,2020,set()
https://openalex.org/W2943005320,2020,{None}
https://openalex.org/W2943392748,2020,set()
https://openalex.org/W2943567574,2020,{None}
https://openalex.org/W2943738190,2020,set()
https://openalex.org/W2944032027,2020,{None}
https://openalex.org/W2944368176,2020,{None}
https://openalex.org/W2944522782,2020,set()
https://openalex.org/W2944599003,2020,set()
https://openalex.org/W2944696704,2022,set()
https://openalex.org/W2944925621,2020,set()
https://openalex.org/W2945603833,2021,set()
https://openalex.org/W2945719650,2020,set()
https://openalex.org/W2946106865,2020,set()
https://openalex.org/W2946213326,2021,set()
https://openalex.org/W2946285945,2020,{None}
https://openalex.org/W2946596969,2020,{None}
https://openalex.org/W2946831069,2021,set()
https://openalex.org/W2946954076,2020,set()
https://openalex.org/W2947184581,2020,{None}
https://openalex.org/W2947383954,2020,set()
https://openalex.org/W2947406663,2020,set()
https://openalex.org/W2947550794,2020,set()
https://openalex.org/W2948266707,2022,set()
https://openalex.org/W2948328616,2020,set()
https://openalex.org/W2948599393,2021,set()
https://openalex.org/W2949282956,2020,"{'Gottfried Wilhelm Leibniz Universität Hannover', 'Technische Universität Braunschweig'}"
https://openalex.org/W2949977705,2020,{None}
https://openalex.org/W2950418429,2021,set()
https://openalex.org/W2950712694,2020,set()
https://openalex.org/W2950870475,2022,set()
https://openalex.org/W2951250991,2020,{'Georg-August-Universität Göttingen'}
https://openalex.org/W2951741824,2024,set()
https://openalex.org/W2952156106,2020,set()
