inst_name,plz,ror_id,dfg_inst_id,federal_state
Universität Mannheim,68131,031bsb921,10045,Baden-Württemberg
Ruprecht-Karls-Universität Heidelberg,69117,038t36y30,10047,Baden-Württemberg
Universität Hohenheim,70599,00b1c9541,10049,Baden-Württemberg
Eberhard Karls Universität Tübingen,72074,03a1kwz48,10051,Baden-Württemberg
Universität Konstanz,78464,0546hnb39,10053,Baden-Württemberg
Albert-Ludwigs-Universität Freiburg,79098,0245cg223,10055,Baden-Württemberg
Universität Ulm,89081,032000t02,10057,Baden-Württemberg
Universität Stuttgart,70174,04vnq7t77,10059,Baden-Württemberg
Pädagogische Hochschule Heidelberg,69120,0044w3h23,10063,Baden-Württemberg
Pädagogische Hochschule Schwäbisch Gmünd,73525,02g2sh456,10064,Baden-Württemberg
Pädagogische Hochschule Ludwigsburg,71634,02j0n6s98,10065,Baden-Württemberg
Pädagogische Hochschule Karlsruhe,76133,01t1kq612,10066,Baden-Württemberg
Hochschule für Musik Freiburg,79102,03bavdz78,10067,Baden-Württemberg
Pädagogische Hochschule Freiburg,79117,02rtsfd15,10068,Baden-Württemberg
Pädagogische Hochschule Weingarten,88250,031eq5e98,10069,Baden-Württemberg
Hochschule der Medien (HdM) Stuttgart,70569,022r03w28,10070,Baden-Württemberg
Hochschule für Technik Stuttgart,70174,039gdg280,10071,Baden-Württemberg
"Hochschule Aalen - Technik, Wirtschaft und Gesundheit",73430,04gg60e72,10072,Baden-Württemberg
Hochschule Heilbronn (HHN),74081,04g5gcg95,10073,Baden-Württemberg
Hochschule Esslingen,73728,056cezx90,10074,Baden-Württemberg
Hochschule Karlsruhe (HKA),76133,01c0m1t63,10075,Baden-Württemberg
"Hochschule Konstanz Technik, Wirtschaft und Gestaltung (HTWG)",78462,051qw9f78,10076,Baden-Württemberg
Technische Hochschule Ulm (THU),89075,05e5kd476,10077,Baden-Württemberg
Heidelberger Akademie der Wissenschaften,69117,02dvf9b44,10078,Baden-Württemberg
"Max-Planck-Institut zur Erforschung von Kriminalität, Sicherheit und Recht",79100,04a8rd767,10080,Baden-Württemberg
Max-Planck-Institut für Immunbiologie und Epigenetik,79108,058xzat49,10081,Baden-Württemberg
Max-Planck-Institut für Astronomie (MPIA),69117,01vhnrs90,10082,Baden-Württemberg
Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht,69120,0515m2n86,10083,Baden-Württemberg
Max-Planck-Institut für Kernphysik,69117,052d0h423,10084,Baden-Württemberg
Max-Planck-Institut für medizinische Forschung,69120,000bxzc63,10085,Baden-Württemberg
Max-Planck-Institut für Festkörperforschung (MPI-FKF),70569,005bk2339,10087,Baden-Württemberg
Max-Planck-Institut für Intelligente Systeme,70569,04fq9j139,10088,Baden-Württemberg
Friedrich-Miescher-Laboratorium für biologische Arbeitsgruppen in der Max-Planck-Gesellschaft,72076,04vh1tq58,10090,Baden-Württemberg
Max-Planck-Institut für biologische Kybernetik,72076,026nmvv73,10091,Baden-Württemberg
Max-Planck-Institut für Biologie,72076,022jc0g24,10092,Baden-Württemberg
Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO),70569,01nh64743,10094,Baden-Württemberg
"Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB",76131,01zx97922,10095,Baden-Württemberg
Fraunhofer-Institut für Angewandte Festkörperphysik (IAF),79108,0083ncs46,10096,Baden-Württemberg
Deutsches Krebsforschungszentrum (DKFZ),69120,04cdgtt98,10097,Baden-Württemberg
Institut für Sonnenphysik (KIS),79110,006g31f33,10099,Baden-Württemberg
Europäisches Laboratorium für Molekularbiologie (EMBL),69117,03mstc592,10100,Baden-Württemberg
Leibniz-Institut für Deutsche Sprache (IDS),68161,00hvwkt50,10101,Baden-Württemberg
Zentralinstitut für Seelische Gesundheit (ZI),68159,01hynnt93,10102,Baden-Württemberg
"Max Rubner-Institut (MRI), Bundesforschungsinstitut für Ernährung und Lebensmittel",76131,045gmmg53,10104,Baden-Württemberg
Forstliche Versuchs- und Forschungsanstalt Baden-Württemberg (FVA),79100,04y3tyb88,10106,Baden-Württemberg
Institut für Mikroelektronik Stuttgart (IMS CHIPS),70569,05kw00716,10107,Baden-Württemberg
Ludwig-Maximilians-Universität München (LMU),80539,05591te55,10108,Bayern
Katholische Universität Eichstätt-Ingolstadt,85049,00mx91s63,10110,Bayern
Universität Passau,94032,05ydjnb78,10111,Bayern
Universität Regensburg,93053,01eezs655,10113,Bayern
Friedrich-Alexander-Universität Erlangen-Nürnberg,91054,00f7hpc57,10115,Bayern
Universität Bayreuth,95447,0234wmv40,10117,Bayern
Otto-Friedrich-Universität Bamberg,96047,01c1w6d29,10119,Bayern
Julius-Maximilians-Universität Würzburg,97070,00fbnyb24,10121,Bayern
Universität Augsburg,86159,03p14d497,10123,Bayern
Technische Universität München (TUM),80333,02kkvpp62,10125,Bayern
Hochschule für Philosophie München,80539,02kqy4228,10127,Bayern
Universität der Bundeswehr München,85579,05kkv3f82,10128,Bayern
Hochschule für angewandte Wissenschaften München,80335,012k1v959,10130,Bayern
Hochschule Weihenstephan-Triesdorf,85354,00gzkxz88,10131,Bayern
Technische Hochschule Rosenheim,83024,03hbmgt12,10132,Bayern
Ostbayerische Technische Hochschule Regensburg (OTH),93053,04b9vrm74,10133,Bayern
Hochschule für angewandte Wissenschaften Coburg,96450,02p5hsv84,10134,Bayern
Technische Hochschule Würzburg-Schweinfurt,97070,01k5h5v15,10135,Bayern
Hochschule für angewandte Wissenschaften Kempten,87435,02m4p8096,10137,Bayern
Bayerische Akademie der Wissenschaften,80539,001rdaz60,10138,Bayern
Max-Planck-Institut für Plasmaphysik (IPP),85748,03taest98,10140,Bayern
Max-Planck-Institut für Biochemie (MPIB),82152,04py35477,10141,Bayern
Max-Planck-Institut für extraterrestrische Physik (MPE),85748,00e4bwe12,10142,Bayern
Max-Planck-Institut für Psychiatrie,80804,04dq56617,10143,Bayern
Fraunhofer-Institut für Silicatforschung (ISC),97082,05gnv4a66,10146,Bayern
Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt,85764,00cfam450,10150,Bayern
Deutsches Jugendinstitut e.V. (DJI),81541,03xptr862,10153,Bayern
ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,81679,045495t75,10154,Bayern
Institut für Zeitgeschichte (IfZ),80636,008pp7a77,10155,Bayern
Monumenta Germaniae Historica (MGH) - Deutsches Institut für Erforschung des Mittelalters,80539,05cm0ff89,10156,Bayern
Deutsches Museum (DM),80538,00a7n7g54,10163,Bayern
Leibniz-Institut für Lebensmittel-Systembiologie,85354,04sy7nb49,10164,Bayern
Freie Universität Berlin,14195,046ak2485,10165,Berlin
Technische Universität Berlin,10623,03v4gjf40,10167,Berlin
Universität der Künste Berlin,10587,03eznrw16,10169,Berlin
Berliner Hochschule für Technik (BHT),13353,00w7whj55,10170,Berlin
Hochschule für Wirtschaft und Recht Berlin,10825,03rkmps36,10171,Berlin
Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI),14195,03k9qs827,10172,Berlin
Max-Planck-Institut für Bildungsforschung,14195,02pp7px91,10173,Berlin
Max-Planck-Institut für molekulare Genetik (MPIMG),14195,03ate3e03,10174,Berlin
Deutsches Archäologisches Institut (DAI),14195,041qv0h25,10175,Berlin
Historische Kommission zu Berlin e.V. (HiKo),14129,,10177,Berlin
Bundesanstalt für Materialforschung und -prüfung (BAM),12205,03x516a66,10178,Berlin
Robert Koch-Institut (RKI),13353,01k5qnb77,10179,Berlin
Wissenschaftszentrum Berlin für Sozialforschung gGmbH (WZB),10785,03k0z2z93,10181,Berlin
Universität Bremen,28359,04ers2y35,10182,Bremen
BIAS - Bremer Institut für Angewandte Strahltechnik GmbH,28359,01k6z4z19,10185,Bremen
Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM),28359,03pwyy961,10187,Bremen
Leibniz-Institut für Werkstofforientierte Technologien IWT,28359,01xc6bj88,10188,Bremen
Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung,27570,032e6b942,10189,Bremen
Deutsches Schifffahrtsmuseum (DSM),27568,02hdxnq28,10191,Bremen
Universität Hamburg,20148,00g30e956,10192,Hamburg
Technische Universität Hamburg,21073,04bs1pb34,10194,Hamburg
Helmut-Schmidt-Universität,22043,04e8jbs38,10196,Hamburg
Max-Planck-Institut für ausländisches und internationales Privatrecht,20148,023ahcz89,10198,Hamburg
Max-Planck-Institut für Meteorologie (MPI-M),20146,05esem239,10199,Hamburg
Deutsches Elektronen-Synchrotron (DESY),22607,01js2sh04,10200,Hamburg
Universität Kassel,34125,04zc7p361,10202,Hessen
Philipps-Universität Marburg,35037,01rdrb571,10204,Hessen
Goethe-Universität Frankfurt am Main,60323,04cvxnb49,10206,Hessen
Justus-Liebig-Universität Gießen,35390,033eqas34,10208,Hessen
Technische Universität Darmstadt,64289,05n911h24,10210,Hessen
Frobenius-Institut,60323,035f23321,10212,Hessen
Hochschule für Musik und Darstellende Kunst Frankfurt am Main,60322,03c0qqf32,10213,Hessen
Philosophisch-Theologische Hochschule Sankt Georgen,60599,01x84xc38,10214,Hessen
Frankfurt University of Applied Sciences,60318,02r625m11,10215,Hessen
Hochschule Darmstadt,64295,047wbd030,10216,Hessen
Technische Hochschule Mittelhessen,35578,02qdc9985,10217,Hessen
