kb_source,oal_source,kb_name,oal_name,kb_id,oal_id
KB,OAL,Carl von Ossietzky Universität Oldenburg,Carl von Ossietzky Universität Oldenburg,6534,6534
KB,OAL,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,21095,21095
KB,OAL,Gottfried Wilhelm Leibniz Universität Hannover,Gottfried Wilhelm Leibniz Universität Hannover,11388,11388
KB,OAL,HAWK Hochschule für angewandte Wissenschaft und Kunst,HAWK Hochschule für angewandte Wissenschaft und Kunst,120,120
KB,OAL,Hochschule Emden/Leer,Hochschule Emden/Leer,297,297
KB,OAL,Hochschule Hannover,Hochschule Hannover,178,178
KB,OAL,Hochschule Osnabrück,Hochschule Osnabrück,522,522
KB,OAL,Hochschule für Bildende Künste Braunschweig,Hochschule für Bildende Künste Braunschweig,4,4
KB,OAL,"Hochschule für Musik, Theater und Medien Hannover","Hochschule für Musik, Theater und Medien Hannover",220,220
KB,OAL,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,332,332
KB,OAL,Leuphana Universität Lüneburg,Leuphana Universität Lüneburg,2324,2324
KB,OAL,Medizinische Hochschule Hannover (MHH),Medizinische Hochschule Hannover (MHH),14816,14816
KB,OAL,Ostfalia Hochschule für angewandte Wissenschaften,Ostfalia Hochschule für angewandte Wissenschaften,422,422
KB,OAL,Stiftung Tierärztliche Hochschule Hannover,Stiftung Tierärztliche Hochschule Hannover,2589,2589
KB,OAL,Stiftung Universität Hildesheim,Stiftung Universität Hildesheim,1001,1001
KB,OAL,Technische Universität Braunschweig,Technische Universität Braunschweig,8371,8371
KB,OAL,Technische Universität Clausthal,Technische Universität Clausthal,2061,2061
KB,OAL,Universität Osnabrück,Universität Osnabrück,3125,3125
KB,OAL,Universität Vechta,Universität Vechta,384,384
KB,,Carl von Ossietzky Universität Oldenburg,,609,0
KB,,Georg-August-Universität Göttingen,,1462,0
KB,,Gottfried Wilhelm Leibniz Universität Hannover,,691,0
KB,,HAWK Hochschule für angewandte Wissenschaft und Kunst,,150,0
KB,,Hochschule Emden/Leer,,4,0
KB,,Hochschule Hannover,,228,0
KB,,Hochschule Osnabrück,,212,0
KB,,Hochschule für Bildende Künste Braunschweig,,10,0
KB,,"Hochschule für Musik, Theater und Medien Hannover",,4,0
KB,,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,,2,0
KB,,Leuphana Universität Lüneburg,,8,0
KB,,Medizinische Hochschule Hannover (MHH),,397,0
KB,,Ostfalia Hochschule für angewandte Wissenschaften,,3,0
KB,,Stiftung Tierärztliche Hochschule Hannover,,16,0
KB,,Stiftung Universität Hildesheim,,3,0
KB,,Technische Universität Braunschweig,,492,0
KB,,Technische Universität Clausthal,,19,0
KB,,Universität Osnabrück,,138,0
,OAL,,Carl von Ossietzky Universität Oldenburg,0,480
,OAL,,Georg-August-Universität Göttingen,0,899
,OAL,,Gottfried Wilhelm Leibniz Universität Hannover,0,569
,OAL,,HAWK Hochschule für angewandte Wissenschaft und Kunst,0,16
,OAL,,Hochschule Emden/Leer,0,48
,OAL,,Hochschule Hannover,0,94
,OAL,,Hochschule Osnabrück,0,128
,OAL,,Hochschule für Bildende Künste Braunschweig,0,24
,OAL,,"Hochschule für Musik, Theater und Medien Hannover",0,19
,OAL,,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,0,23
,OAL,,Leuphana Universität Lüneburg,0,361
,OAL,,Medizinische Hochschule Hannover (MHH),0,444
,OAL,,Norddeutsche Hochschule für Rechtspflege,0,1
,OAL,,Ostfalia Hochschule für angewandte Wissenschaften,0,25
,OAL,,Stiftung Tierärztliche Hochschule Hannover,0,297
,OAL,,Stiftung Universität Hildesheim,0,237
,OAL,,Technische Universität Braunschweig,0,322
,OAL,,Technische Universität Clausthal,0,93
,OAL,,Universität Osnabrück,0,269
,OAL,,Universität Vechta,0,83
