dfg_id,inst_name,level,parent_name,dfg_id_parent
14332,Bibliotheks- und Informationssystem (BIS),level0,Carl von Ossietzky Universität Oldenburg,10233
14349,Center für lebenslanges Lernen (C3L),level0,Carl von Ossietzky Universität Oldenburg,10233
19052,"CMC - Center for Migration, Education and Cultural Studies",level0,Carl von Ossietzky Universität Oldenburg,10233
35245680,COAST - Zentrum für Umwelt- und Nachhaltigkeitsforschung,level0,Carl von Ossietzky Universität Oldenburg,10233
25628,ecco-ecology + communication Unternehmensberatung GmbH,level0,Carl von Ossietzky Universität Oldenburg,10233
14334,Fakultät I - Bildungs- und Sozialwissenschaften,level0,Carl von Ossietzky Universität Oldenburg,10233
19050,Institut für Pädagogik,level1,Carl von Ossietzky Universität Oldenburg,10233
25499,Arbeitsbereich Bildungsmanagement,level2,Carl von Ossietzky Universität Oldenburg,10233
35245672,Arbeitsbereich Didaktik des Sachunterrichts,level2,Carl von Ossietzky Universität Oldenburg,10233
522528061,Arbeitsbereich Pädagogik und Didaktik der Elementar- und Primarbildung,level2,Carl von Ossietzky Universität Oldenburg,10233
35245668,Arbeitsgruppe Pädagogik,level2,Carl von Ossietzky Universität Oldenburg,10233
19051,Institut für Sonder- und Rehabilitatiospädagogik,level1,Carl von Ossietzky Universität Oldenburg,10233
467138631,Fachgruppe Heterogenität und Diversität unter besonderer Berücksichtigung inklusiver Bildungsprozesse,level2,Carl von Ossietzky Universität Oldenburg,10233
25603,Fachgruppe Pädagogik bei Verhaltensstörungen - emotionale und soziale Entwicklung,level2,Carl von Ossietzky Universität Oldenburg,10233
25624,Fachgruppe Pädagogik und Didaktik bei Beeinträchtigungen der körperlichen und motorischen Entwicklung sowie chronischen und progredienten Erkrankungen,level2,Carl von Ossietzky Universität Oldenburg,10233
19053,Fachgruppe Pädagogik und Didaktik bei Beeinträchtigungen des Lernens,level2,Carl von Ossietzky Universität Oldenburg,10233
152147068,Fachgruppe Sonder- und Rehabilitationspädagogische Psychologie,level2,Carl von Ossietzky Universität Oldenburg,10233
536303487,Fachgruppe Sprache und Kommunikation und ihre sonderpädagogische Förderung unter besonderer Berücksichtigung inklusiver Bildungsprozesse,level2,Carl von Ossietzky Universität Oldenburg,10233
19068,Institut für Sozialwissenschaften,level1,Carl von Ossietzky Universität Oldenburg,10233
446799128,Abteilung für politische Bildung und Politikdidaktik,level2,Carl von Ossietzky Universität Oldenburg,10233
14341,"Fakultät II - Informatik, Wirtschafts- und Rechtswissenschaften",level0,Carl von Ossietzky Universität Oldenburg,10233
971941,Department für Informatik,level1,Carl von Ossietzky Universität Oldenburg,10233
26024,Abteilung Business Engineering,level2,Carl von Ossietzky Universität Oldenburg,10233
454274525,Abteilung Digitalisierte Energiesysteme,level2,Carl von Ossietzky Universität Oldenburg,10233
26033,Abteilung Eingebettete Hardware-/Software-Systeme,level2,Carl von Ossietzky Universität Oldenburg,10233
26034,Juniorprofessur für Komplexe Integrierte Systeme/Eingebettete Systeme,level3,Carl von Ossietzky Universität Oldenburg,10233
231789162,Abteilung Energieinformatik,level2,Carl von Ossietzky Universität Oldenburg,10233
26022,Abteilung Entwicklung korrekter Systeme,level2,Carl von Ossietzky Universität Oldenburg,10233
26021,Abteilung Formale Sprachen,level2,Carl von Ossietzky Universität Oldenburg,10233
569058731,Abteilung für Safety-Security-Interaction,level2,Carl von Ossietzky Universität Oldenburg,10233
26023,Abteilung Informationssysteme,level2,Carl von Ossietzky Universität Oldenburg,10233
57833255,Abteilung Mikrorobotik und Regelungstechnik,level2,Carl von Ossietzky Universität Oldenburg,10233
26020,Abteilung Parallele Systeme,level2,Carl von Ossietzky Universität Oldenburg,10233
26025,Abteilung Rechnernetze und Telekommunikation,level2,Carl von Ossietzky Universität Oldenburg,10233
26032,Abteilung Sicherheitskritische eingebettete Systeme,level2,Carl von Ossietzky Universität Oldenburg,10233
26027,Abteilung Systemsoftware und verteilte Systeme,level2,Carl von Ossietzky Universität Oldenburg,10233
26026,Abteilung Umweltinformatik,level2,Carl von Ossietzky Universität Oldenburg,10233
