doi,parent_name,raw_affiliation_string,fak_name,dept_name
10.1007/s00350-020-5507-1,Georg-August-Universität Göttingen,"Lehrstuhl für Bürgerliches Recht, Zivilprozessrecht, Medizinrecht und Rechtsvergleichung, Göttingen, Deutschland",Juristische Fakultät,Institut für Privat- und Prozessrecht
10.3390/ijms222011268,Georg-August-Universität Göttingen,"Synaptic Physiology Group, Department of Molecular Neurobiology, Max Planck Institute for Experimental Medicine, Hermann-Rein-Str. 3, 37075 Göttingen, Germany",Fakultät für Biologie und Psychologie,Johann-Friedrich-Blumenbach Institut für Zoologie und Anthropologie
10.1007/s10980-022-01416-w,Georg-August-Universität Göttingen,"Wildlife Sciences Faculty of Forest Sciences and Forest Ecology, University of Goettingen, 37073, Göttingen, Germany",Fakultät für Forstwissenschaften und Waldökologie,Büsgen-Institut
10.1111/jac.12658,Georg-August-Universität Göttingen,"Division of Grassland Science, Department of Crop Sciences University of Göttingen Göttingen Germany",Fakultät für Agrarwissenschaften,Department für Nutzpflanzenwissenschaften
10.1007/s11625-023-01331-2,Georg-August-Universität Göttingen,"Human Geography, Georg-August Universität Göttingen, Goldschmidtstrasse 5, 37077 Göttingen, Germany",Fakultät für Geowissenschaften und Geographie,Geographisches Institut
10.1002/cctc.202100276,Georg-August-Universität Göttingen,Institute for X-ray Physics University of Göttingen  Friedrich-Hund-Platz 1 37077 Göttingen Germany,Fakultät für Physik,Institut für Röntgenphysik
10.3390/microorganisms9030589,Georg-August-Universität Göttingen,"Molecular Phytopathology and Mycotoxin Research, University of Goettingen, 37077 Goettingen, Germany",Fakultät für Agrarwissenschaften,Department für Nutzpflanzenwissenschaften
10.1111/jpn.13928,Georg-August-Universität Göttingen,"Department of Animal Sciences, University of Goettingen, Goettingen, Germany",Fakultät für Agrarwissenschaften,Department Nutztierwissenschaften
10.1039/c9cc09774k,Georg-August-Universität Göttingen,Universität Göttingen,,
10.1080/23801883.2022.2061370,Georg-August-Universität Göttingen,University of Göttingen,,
10.1186/s12859-022-04863-z,Georg-August-Universität Göttingen,"Institute of Computer Science, Georg-August-University Göttingen, Göttingen, Germany",Fakultät für Mathematik und Informatik,Institut für Informatik (IfI)
