doi,parent_name,raw_affiliation_string,fak_name,dept_name
10.1111/jmcb.12795,Universität Osnabrück,"Institute of Empirical Economic Research, Osnabrück University, Germany",Fachbereich Wirtschaftswissenschaften,Institut für Empirische Wirtschaftsforschung
10.58560/rmmsb.v03.n02.023.10,Universität Osnabrück,". Institute of Mathematics, Institute of Environmental Systems Research, Osnabrück University, Osnabrück, Germany",Fachbereich Mathematik / Informatik / Physik,Institut für Mathematik
10.1371/journal.pone.0248875,Universität Osnabrück,"Department of Psychology, University of Osnabrück, Osnabrück, Germany",Fachbereich Humanwissenschaften,Institut für Psychologie
10.1016/j.jinorgbio.2021.111582,Universität Osnabrück,"Institute of Chemistry of New Materials, University of Osnabrück, Barbarastraße 6, 49069 Osnabruck, Germany",Fachbereich Biologie / Chemie,Institut für Chemie neuer Materialien
10.3389/fcimb.2021.624650,Universität Osnabrück,"Abteilung Mikrobiologie, Universität Osnabrück, Osnabrück, Germany",Fachbereich Biologie / Chemie,Arbeitsgruppe Mikrobiologie
10.1002/eat.24117,Universität Osnabrück,"University of Osnabrueck, Osnabrueck, Germany",,
10.20377/jfr-373,Universität Osnabrück,Osnabrueck University,,
10.1111/cod.13719,Universität Osnabrück,"Department of Dermatology, Environmental Health and Health Theory University of Osnabrück and Institute of Interdisciplinary Dermatological Prevention and Rehabilitation (iDerm) at the University of Osnabrück  Osnabrück Germany",Fachbereich Humanwissenschaften,Institut für Gesundheitsforschung und Bildung (IGB)
10.3390/dermato4020006,Universität Osnabrück,"Department of Dermatology, Environmental Medicine and Health Theory, Osnabrück University, 49076 Osnabrück, Germany",Fachbereich Humanwissenschaften,Institut für Gesundheitsforschung und Bildung (IGB)
10.1111/ejn.16634,Universität Osnabrück,"Experimental Psychology I, Institute of Psychology Osnabrück University  Osnabrück Germany",Fachbereich Humanwissenschaften,Institut für Psychologie
10.1167/jov.23.9.4689,Universität Osnabrück,"Universitaet Osnabrueck, Germany",,
10.1162/opmi_a_00133,Universität Osnabrück,"Cognitive Science Institute, Osnabrück University, Osnabrück, Germany",Fachbereich Humanwissenschaften,Institut für Kognitionswissenschaft
10.1515/jlt-2023-frontmatter2,Universität Osnabrück,"Universität Osnabrück, Institut für Germanistik, Neuer Graben 40, 49074 Osnabrück, Germany,",Fachbereich Sprach- und Literaturwissenschaft,Institut für Germanistik (IfG)
10.1007/s43630-023-00385-6,Universität Osnabrück,"Institute for Interdisciplinary Dermatological Prevention and Rehabilitation (iDerm), Osnabrück University, Osnabrück, Germany",Fachbereich Humanwissenschaften,Institut für Gesundheitsforschung und Bildung (IGB)
10.3389/fpsyg.2021.689534,Universität Osnabrück,"Institute of Cognitive Science, University of Osnabrück, Osnabrück, Germany",Fachbereich Humanwissenschaften,Institut für Kognitionswissenschaft
10.1007/s13138-024-00234-8,Universität Osnabrück,"Osnabrueck University, Osnabrueck, Germany",,
10.3390/jof7020118,Universität Osnabrück,"Department of Genetics, Faculty of Biology/Chemistry, University of Osnabrück, Barbarastrasse 11, D-49076 Osnabrück, Germany",Fachbereich Biologie / Chemie,Arbeitsgruppe Genetik
10.1016/j.cub.2023.08.026,Universität Osnabrück,"Department of Biology, Botany, University of Osnabrück, Barbarastraße 11, 49076 Osnabrück, Germany",Fachbereich Biologie / Chemie,Arbeitsgruppe Botanik
10.7554/elife.62501,Universität Osnabrück,"Center of Cellular Nanoanalytics (CellNanOs), University of Osnabrück, Osnabrück, Germany",Fachbereich Biologie / Chemie,Center of Cellular Nanoanalytics
10.1080/00111619.2024.2382457,Universität Osnabrück,"Institute for English and American Studies, Osnabrück University, Osnabrück, Germany",Fachbereich Sprach- und Literaturwissenschaft,Institut für Anglistik / Amerikanistik
