doi,parent_name,raw_affiliation_string,fak_name,dept_name
10.3390/biomedicines11082233,Universitätsmedizin Göttingen,"Department of Anesthesiology, University Medical Center Goettingen, 37075 Goettingen, Germany",Klinik für Anästhesiologie,
10.1038/s41467-021-24064-1,Universitätsmedizin Göttingen,"Institute of Molecular Oncology, University Medical Center Göttingen, Göttingen, Germany",Abteilung Molekulare Onkologie,
10.1007/s00392-023-02177-5,Universitätsmedizin Göttingen,"Herz- Und Thorax-Chirurgie, University Medical Center Göttingen, Göttingen, Germany",,
10.1093/eurheartj/ehad586,Universitätsmedizin Göttingen,"Department of Medical Statistics and DZHK (German Center for Cardiovascular Research), Partner Site Göttingen, University Medical Center Göttingen , Göttingen , Germany",Institut für Medizinische Statistik,
10.1016/j.jvir.2019.11.009,Universitätsmedizin Göttingen,"Diagnostic and Interventional Radiology, University Medical Center Goettingen, Goettingen, Germany",Institut für Klinische und Interventionelle Radiologie,
10.1002/cmdc.202100222,Universitätsmedizin Göttingen,Institute of Pharmacology and Toxicology University Medical Center Georg-August-University  Göttingen Germany,Institut für Pharmakologie und Toxikologie,
10.1111/ddg.15211_g,Universitätsmedizin Göttingen,Niedersächsisches Institut für Berufsdermatologie 1Universitätsmedizin Göttingen  Göttingen Deutschland,"Klinik für Dermatologie, Venerologie und Allergologie",
10.3389/fnmol.2020.600051,Universitätsmedizin Göttingen,"Presynaptogenesis and Intracellular Transport in Hair Cells Group, Institute for Auditory Neuroscience and InnerEarLab, University Medical Center Göttingen, Göttingen, Germany",Institut für Auditorische Neurowissenschaften,
10.1186/s13244-024-01749-x,Universitätsmedizin Göttingen,"Department of Urology, University Medical Center Goettingen, Goettingen, Germany",Klinik für Urologie,
10.1055/a-1364-6353,Universitätsmedizin Göttingen,"Klinik für Psychiatrie und Psychotherapie, Universitätsmedizin Göttingen",Klinik für Psychiatrie und Psychotherapie,
10.1158/1078-0432.ccr-20-2272,Universitätsmedizin Göttingen,"3Clinics of Hematology and Medical Oncology, University Medical Center, Georg-August-University, Goettingen, Germany",Klinik für Hämatologie und Medizinische Onkologie,
10.3390/life13041053,Universitätsmedizin Göttingen,"Department of Psychiatry and Psychotherapy, University Medical Center (UMG), Georg-August-University, 37075 Göttingen, Germany",Klinik für Psychiatrie und Psychotherapie,
10.1016/j.nicl.2021.102800,Universitätsmedizin Göttingen,"Department of Psychiatry, University Medicine Göttingen, Von-Siebold-Str. 5, 37075 Göttingen, Germany",Klinik für Psychiatrie und Psychotherapie,
