id,raw_affiliation_string,in_oal_missing,in_kb_missing
https://openalex.org/W4404402536,"Chair of Medical Sociology, Institute of Medical Sociology, Health Services Research, and Rehabilitation Science, Faculty of Medicine and University Hospital Cologne, University of Cologne, Cologne, Germany; Division for Organizational Health Services Research, School of Medicine and Health Sciences, Department of Health Services Research, University of Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3017048923,"Helmholtz Institute for Functional Marine Biodiversity, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4210749143,"Leibniz-Centre for Tropical Marine Research (ZMT), Ecology Department, Fahrenheitstraße 6, 28359, Bremen, Germany 2Institute for Chemistry and Biology of the Marine Environment (ICBM), Carl-von-Ossietzky-Straße 9-11, 26111 Oldenburg, Germany  3Smithsonian Tropical Research Institute (STRI), Balboa, Panama, Republic of Panama",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4310109023,"Department of Neurology, Evangelical Hospital Oldenburg, Carl von Ossietzky-University, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4396798605,"Pius-Hospital, University Medicine Oldenburg",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4387209279,"Alfred-Wegener-Institute, Helmholtz Centre for Polar and Marine Science, Am Handeshafen 12, 27570, Germany; Helmholtz Institute for Functional Marine Biodiversity at the University Oldenburg, Ammerländer Heerstraße 231, 26 129, Oldenburg, Germany, (HIFMB). Electronic address: Jennifer.Dannheim@awi.de",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3021394091,"Helmholtz Institute for Functional Marine Biodiversity at the
University Oldenburg (HIFMB), AmmerlÃ¤nder HeerstraÃe 231, 26129
Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4229378509,"Carl von Ossietzky University Oldenburg, University Hospital for Visceral Surgery, Pius-Hospital Oldenburg, Georgstr. 12, 26121, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4387209279,"University of Bremen, Bibliothekstraße 1, 28359, Bremen, Germany; Alfred-Wegener-Institute, Helmholtz Centre for Polar and Marine Science, Am Handeshafen 12, 27570, Germany; Helmholtz Institute for Functional Marine Biodiversity at the University Oldenburg, Ammerländer Heerstraße 231, 26 129, Oldenburg, Germany, (HIFMB). Electronic address: Thomas.Brey@awi.de",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4379646019,"Pius-Hospital Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4416643196,"Universitätsmedizin Oldenburg; PIUS-Hospital, Universitätsklinik für Viszeralchirurgie, Oldenburg, Deutschland",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4229373948,"Pius-Hospital Oldenburg, University Clinic Internal Medicine, Georgstraße 12, 26121, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3136139086,"University Clinic for Medical Radiation Physics, Medical Campus Pius-Hospital, Carl von Ossietzky University Oldenburg, Georgstrasse 12, 26121, Oldenburg, Germany. Ping.Jiang@Pius-Hospital.de",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4403601198,"University Hospital for Gynecology Pius Hospital, University Medicine Oldenburg, 26121 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3042756634,"Helmholtz Institute for Functional Marine Biodiversity, Oldenburg Oldenburg Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3048723458,"Klinik für Neurologische Intensivmedizin und Frührehabilitation, Evangelisches Krankenhaus Oldenburg, Medizinischer Campus Universität Oldenburg, Oldenburg, Deutschland",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3045890535,"University Clinic for Medical Radiation Physics, Medical Campus Pius-Hospital, Carl von Ossietzky University, Georgstrasse 12, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4399301272,"Evangelisches Krankenhaus, Klinik für Anästhesiologie, Notfallmedizin und Schmerztherapie, Universitätsmedizin Oldenburg, Steinweg 13-17, 26122, Oldenburg, Deutschland",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3148649003,"Pius Hospital, Department of General and Visceral Surgery, University Hospital of Visceral Surgery, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4285094414,"Klinik für Unfallchirurgie, Orthopädie & Sporttraumatologie, Evangelisches Krankenhaus Oldenburg, Oldenburg, Deutschland",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4392103691,"Helmholtz Institute for Functional Marine Biodiversity (HIFMB), Carl von Ossietzky University Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4385836594,"Helmholtz Institute for Functional Marine Biodiversity at the University Oldenburg, Ammerländer Heerstraße 231, 23129 Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4313584980,"Institute for Chemistry and Biology of the Marine Environment (ICBM), Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3042693479,"Evangelisches Krankenhaus Oldenburg, HNO Oldenburg",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3037388584,"Helmholtz Institute for Functional Marine Biodiversity, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3189734457,"Institute for Chemistry and Biology of the Marine Environment (ICBM), Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W3081594783,"Prof. Dr., DGNR, Klinikum Bremen-Ost,                     Zentrum für Neurologie, Bremen, Universität Oldenburg, Institut                     für Psychologie, Oldenburg",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4396624438,"Institute of Clinical Chemistry and Laboratory Medicine, University Medicine Oldenburg, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4293148410,"Evangelisches Krankenhaus Oldenburg, Universitätsklinik für Hals- Nasen- Ohrenheilkunde Oldenburg",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4405674447,"Pius-Hospital Oldenburg Department of Orthopedic surgery and Traumatology, Oldenburg Medical School, Georgstraße 12, Oldenburg 26121, Germany",Carl von Ossietzky Universität Oldenburg,
https://openalex.org/W4225352800,"Pius-Hospital Oldenburg, Universitätsklinik für Innere Medizin, Oldenburg, Germany",Carl von Ossietzky Universität Oldenburg,
