id,raw_affiliation_string,in_oal_missing,in_kb_missing
https://openalex.org/W4404567997,"HAWK University of Applied Sciences and Art, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3186328542,"Chair of Regional Management and Business Promotion, Faculty of Resource Management, HAWK University for Applied Sciences and Art, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3023569018,"Hochschule für angewandte Wissenschaften und Kunst Coburg, Bereich Integrative Gesundheitsförderung, Coburg, Deutschland",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4402171474,"HAWK, University of applied sciences and arts, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3049726972,"Chair of Economic Development and Corporate Governance, Faculty of Resource Management, Hochschule für angewandte Wissenschaft und Kunst, Büsgenweg 1a, 37077, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4402023848,"University of Applied Sciences and Arts, Faculty of Resource Management, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3097268437,"Faculty of Natural Sciences and Technology, University of Applied Sciences and Arts HAWK, Goettingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4400688828,"Faculty of Resource Management, University of Applied Science and Art, Daimlerstraße 2, 37075, Goettingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4379523350,"Plant Ecology and Ecosystems Research, University of Goettingen, Goettingen, Germany. Faculty of Resource Management, HAWK University of Applied Sciences and Arts, Goettingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,Georg-August-Universität Göttingen
https://openalex.org/W4310054987,Faculty of Resource Management HAWK University of Applied Sciences and Arts  Goettingen Germany,HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4404128613,Faculty of Engineering and Health University of Applied Sciences and Arts  Göttingen Germany,HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3084121006,"Faculty of Engineering and Health, University of Applied Sciences and Arts, Von-Ossietzky-Straße 99, 37085, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4224255337,"Faculty of Resource Management, University of Applied Sciences and Arts (HAWK), Rudolf-Diesel-Straße 12, 37075 Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4391983328,Faculty Engineering and Health HAWK University of Applied Sciences and Arts Göttingen Germany,HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4404869914,"Orthopaedic Hospital for Children, Behandlungszentrum Aschau GmbH, Bernauerstr. 18, Aschau i. Chiemgau, 83229, Germany; HAWK University of Applied Sciences and Arts, Faculty of Engineering and Health Göttingen, Annastr 25, Göttingen 37075, Germany. Electronic address: h.boehm@kiz-chiemgau.de",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4323667646,"Faculty of Resource Management, University of Applied Science and Art, Büsgenweg 1A, 37077 Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4366587386,"Faculty of Engineering and Health, HAWK University of Applied Sciences and Arts, Von-Ossietzky-Straße 98/100, 37085 Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3114760250,"Chair of Software Engineering, Faculty of Natural Sciences and Technology, Hochschule für angewandte Wissenschaft und Kunst, Von-Ossietzky-Straße 99, 37085 Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4405024023,"Health Campus Göttingen of University of Applied Sciences and Arts (HAWK) and University Medical Center Göttingen (UMG), Faculty of Engineering and Health, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4396580270,"Faculty of Resource Management, University of Applied Sciences and Arts, Büsgenweg 1a, 37077 Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4283068864,Hochschule für Angewandte Wissenschaft und Kunst Göttingen Fakultät Ingenieurwissenschaften und Gesundheit  Von-Ossietzky-Straße 99 37085 Göttingen Germany,HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4386466394,"Faculty of Resource Management, University of Applied Sciences and Arts (HAWK), 37085, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4404567997,"MALTE BELLMANN, PhD, is affiliated with Research Biomechanics, Ottobock SE & Co. KGaA, Göttingen, Germany; HAWK University of Applied Sciences and Art, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,Georg-August-Universität Göttingen
https://openalex.org/W4392975764,"Faculty of Engineering and Health, HAWK University of Applied Sciences and Arts, Von-Ossietzky-Str. 99, Göttingen, 37085, GERMANY",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4308688279,"Faculty of Engineering and Health, HAWK University of Applied Sciences and Arts, Goettingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3084121006,"Faculty of Engineering and Health, University of Applied Sciences and Arts, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4367151963,"Faculty of Eng. and Health, Univ. of Appl. Sci. and Arts, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,Georg-August-Universität Göttingen
https://openalex.org/W4280533042,"Laboratory of Laser and Plasma Technologies, Faculty of Engineering and Health, University of Applied Sciences and Arts, Von-Ossietzky-Straße 99, 37085 Goettingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4281687504,"University of Applied Sciences and Arts, Hildesheim, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,Stiftung Universität Hildesheim
https://openalex.org/W3215125565,"Department of Health Professions, Applied Research and Development Physiotherapy, Bern University of Applied Sciences, Murtenstrasse 10, CH - 3008, Bern, Switzerland; Institute of Sport Science, University of Hildesheim, Institute of Sport Science, Universitätsplatz 1, DE - 31141, Hildesheim, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4401034676,"Hochschule für angewandte Wissenschaft und Kunst HAWK, Fakultät Ingenieurwissenschaften und Gesundheit  Von‐Ossietzky‐Straße 99 37085 Göttingen",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3172652595,"Faculty of Engineering and Health, University of Applied Sciences and Arts, Von-Ossietzky-Straße 99, Göttingen D-37085, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4297030746,"Faculty of Engineering and Health, HAWK Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3148034820,"Faculty of Engineering and Health, HAWK University of Applied Sciences and Arts, Von-Ossietzky-Str. 99/100, 37085 Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3080314629,"Laboratory of Laser and Plasma Technologies, University of Applied Sciences and Arts, Von-Ossietzky-Str. 99, 37085 Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4310054987,"Faculty of Resource Management, HAWK University of Applied Sciences and Arts, Goettingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4385252799,"Faculty of Resource Management, University of Applied Sciences and Arts, Büsgenweg 1a, 37077, Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4297192880,"Faculty of Resource Management, HAWK University of Applied Sciences and Arts, Büsgenweg 1a, 37077 Göttingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W3213422384,"Application Center for Plasma and Photonic, Fraunhofer Institute for Surface Engineering and Thin Films IST, Goettingen, Germany; Department of Sciences and Technology, University of Applied Sciences and Arts, Goettingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
https://openalex.org/W4365514900,"Faculty of Resource Management, HAWK University of Applied Sciences and Arts, Goettingen, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,
