id,raw_affiliation_string,in_oal_missing,in_kb_missing
https://openalex.org/W3106353409,"Faculty of Business and Social Sciences, University of Applied Sciences, Caprivistr, 30A, 49076, Osnabrück, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W3197945605,"Laboratory of Plastics Technology, University of Applied Science Osnabrück, Osnabrück, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4391983996,"Faculty Business Management and Social Sciences, University of Applied Science Osnabrück, Albrechtstraße 30, 49076, Osnabrück, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W3137177795,"Health Informatics Research Group, Faculty of Business Management and Social Sciences, University of Applied Sciences Osnabrueck, Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4224288176,Univ. of Applied Sciences  Osnabrück 49076 Germany,Hochschule Osnabrück,
https://openalex.org/W3099049461,"Faculty of Business and Social Sciences, University of Applied Sciences, Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4382644815,"University of Applied Science, Sedanstraße 60, 49076 Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W4404764723,"Faculty of Agricultural Sciences and Landscape Architecture, Osnabrueck University of Applied Sciences, Am Kruempel 31, 49090 Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W4362606504,"Faculty of Business and Social Sciences, University of Applied Sciences, Osnabrueck, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4392452402,"Faculty of Engineering and Computer Sciences, University of Applied Sciences Osnabrueck, Osnabrueck, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W3126146923,"Faculty of Economics and Social Sciences, University of Applied Sciences Osnabrück, Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4401099811,"Department of Horticultural Production, University of Applied Sciences Osnabrueck, Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W3193835623,Institute of Materials Design and Structural Integrity University of Applied Sciences Osnabrück  49009 Osnabrück Germany,Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4382644815,"University of Applied Science, Sedanstrae 60, 49076 Osnabrueck, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W3097116167,"Faculty of Business and Social Sciences, University of Applied Sciences, Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4366352706,"Faculty of Business Management and Social Sciences, Section of Speech and Language Therapy, University of Applied Sciences, Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W4377107518,Department of Plant Breeding University of Applied Sciences  Osnabrueck Germany,Hochschule Osnabrück,
https://openalex.org/W4283713834,"University of Applied Science Osnabrueck, Albrechtstr.30, 49076, Osnabrück, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W3037948791,Institute of Materials Design and Structural Integrity University of Applied Sciences Osnabrück  Osnabrück Germany,Hochschule Osnabrück,
https://openalex.org/W4377107518,"Department of Plant Breeding, University of Applied Sciences, Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W3104267767,"Faculty of Business and Social Sciences, University of Applied Sciences, Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4213001805,"Faculty of Business and Social Sciences, University of Applied Sciences, Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4206332227,"Faculty of Management, Culture and Technology University of Applied Sciences Osnabrueck  Lingen Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4403157369,Institute for Materials Design and Structural Integrity University of Applied Sciences Osnabrück  Albrechtstraße 30 Osnabrück 49076 Germany,Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4403491731,"Faculty of Agricultural Sciences and Landscape Architecture, University of Applied Sciences Osnabrueck, 49090 Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W4399594166,"Faculty of Business Management and Social Sciences, Osnabrueck University of Applied Sciences, Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W4381190628,"Faculty of Business Management and Social Sciences, Osnabrueck University of Applied Sciences, Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W4212823277,Faculty of Engineering and Computer Science University of Applied Sciences Osnabrück  Albrechtstraße 30 49076 Osnabrück Germany,Hochschule Osnabrück,
https://openalex.org/W4300816813,"Department of Plant Nutrition and Crop Production, University of Applied Sciences Osnabrück, 49090 Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4200424901,"Laboratory of Chemistry and Surface Modification, University of Applied Sciences, Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W3134334065,"Faculty of Business and Social Sciences, University of Applied Sciences, Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4388153959,"University of Applied Sciences, Plant Nutrition and Crop Production, Am Krümpel 31, 49090 Osnabrück, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4394993540,"Faculty of Business Management and Social Sciences, Osnabrueck University of Applied Sciences, Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W3145587720,"Faculty of Engineering and Computer Science, University of Applied Sciences Osnabrück, 49076 Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W3046721860,"Faculty of Engineering and Computer Science, University of Applied Sciences Osnabrück, 49076 Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W3195484481,"Faculty of Management, Culture and Technology, Campus Lingen, University of Applied Sciences Osnabrueck, 49809 Lingen, Germany",Hochschule Osnabrück,
https://openalex.org/W4400069463,"Osnabrueck University of Applied Sciences , Faculty of Business Management and Social Sciences, Department Physiotherapy and Rehabilitation Sciences , Osnabrueck , Lower Saxony , Germany",Hochschule Osnabrück,
https://openalex.org/W4391145048,"University Department of Anesthesiology, Intensive Care Medicine and Emergency Medicine, Johannes Wesling Klinikum Minden, Ruhr-University Bochum, Minden, Germany; Medical School OWL, Bielefeld University, Bielefeld, Germany; Department of Medical and Emergency Services, Study Institute Westfalen-Lippe, Bielefeld, Germany; Emergency Department, University Hospital of Düsseldorf, Düsseldorf, Germany; Medical Director of Rescue Service, Osnabrück District, Germany; Department of Anesthesiology and Operative Intensive Care Medicine, Hochschule Osnabrück - University of Applied Sciences, Osnabrück, Germany; Rescue Service Lippe District, Germany; Biostatistics and Medical Biometry, Medical School OWL, Bielefeld University, Bielefeld, Germany; Rescue Service, Integrated Regional Control Center Dresden, Dresden, Germany; Rescue Service, Gütersloh District, Germany; Skillslab, Medical School OWL, Bielefeld University, Bielefeld, Germany; University Department of Anesthesiology, Intensive Care Medicine, Emergency Medicine, Transfusion Medicine, and Pain Therapy, Evangelisches Klinikum Bethel, University Hospital OWL, Bielefeld University, Bielefeld, Germany; Department of Anesthesiology, Operative Intensive Care Medicine, Emergency Medicine and Pain Therapy, Municipal Hospital of Bielefeld, Bielefeld, Germany; Institute of Anesthesiology and Pain Therapy, Heart and Diabetes Center NRW, University Hospital of the Ruhr-University Bochum, Bad Oeynhausen, Germany",Hochschule Osnabrück,
https://openalex.org/W4311792300,"Faculty of Agriculture, University of Applied Sciences Osnabrueck, 49090 Osnabrueck, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4400111284,"Faculty of Engineering and Computer Science, Osnabr&#x00FC;ck University of Applied Sciences, Osnabr&#x00FC;ck, Germany",Hochschule Osnabrück,
https://openalex.org/W3183154789,"Department of Physical Therapy and Rehabilitation Science, University of Applied Science Osnabruck, 49076 Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4361210164,"School of Business Management and Social Sciences, University of Applied Sciences Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4290786353,"Department of Agricultural Science and Landscape Architecture, University of Applied Science Osnabrueck, Am Kruempel 31, Osnabrueck 49090, Germany",Hochschule Osnabrück,
https://openalex.org/W4224984535,"Health Informatics Research Group, University AS Osnabrück, 49076 Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W4393987246,Department of Horticultural Production University of Applied Sciences Osnabrueck Osnabrueck Germany,Hochschule Osnabrück,
https://openalex.org/W3001799835,"From the Centre for Health and Social Economics, National Institute for Health and Welfare, and Orton Orthopaedic Hospital, Helsinki, Finland (AM); University of Applied Sciences Osnabrück, Faculty of Business and Social Sciences, Osnabrück, Germany (SA-O); Faculty of Rehabilitation Medicine, Department of Physical Therapy, Rehabilitation Research Center, Edmonton, AB, Canada (SA-O); Scott Health Sciences Library, University of Alberta, Edmonton AB, Canada (LD); Department of Physical Medicine and Rehabilitation, Northwestern University Feinberg School of Medicine, and Centre for Rehabilitation Outcomes Research, Shirley Ryan AbilityLab, Chicago, Illinois (AWH); Department of Biomedical, Surgical, and Dental Sciences, University of Milan ""La Statale,"" and IRCCS Istituto Ortopedico Galeazzi, Milan, Italy (SN); and Department of Physical and Rehabilitation Medicine, Helsinki University Hospital, and University of Helsinki, Helsinki, Finland (JA)",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4311906433,"Osnabrueck University of Applied Sciences, Faculty of Agricultural Sciences and Landscape, Am Krümpel 31, 49090, Osnabrueck, Germany",Hochschule Osnabrück,
https://openalex.org/W4385309075,"Faculty of Business and Social Sciences, University of Applied Sciences, 30A, 49076 Osnabruck, Germany",Hochschule Osnabrück,
https://openalex.org/W4399975944,"Faculty of Engineering and Computer Science, University of Applied Sciences Osnabrück, 49076 Osnabrück, Germany",Hochschule Osnabrück,
https://openalex.org/W3213663240,University of Applied Sciences Osnabrück Faculty of Engineering and Computer Science  Albrechtstraße 30 49076 Osnabrück Federal Republic of Germany,Hochschule Osnabrück,
https://openalex.org/W4393074475,"3Clinical Center Osnabrück, Osnabrück, Germany",,Hochschule Osnabrück
https://openalex.org/W4313422837,"Osnabrück University ,",,Hochschule Osnabrück
https://openalex.org/W4396615650,"Institute for Health Research and Education, Department of Dermatology, Environmental Medicine and Health Theory, Osnabrück University, Osnabrück, Germany",,Hochschule Osnabrück
https://openalex.org/W3111680983,"Universität Osnabrück , Historisches Seminar, Alte Geschichte , Osnabrück , 49074 , Germany ",,Hochschule Osnabrück
https://openalex.org/W4205574980,"Department of Dermatology, Environmental Medicine and Health Theory, University of Osnabrück, Osnabrück D-49076, Germany",,Hochschule Osnabrück
https://openalex.org/W4307135089,"Alfred Mengel, bis 2010 Pfarrer der Evangelisch-reformierten Gemeinde Lengerich (Emsland) und Präses des Synodalverbandes Emsland-Osnabrück, arbeitet als Religionslehrer am Gymnasium Leoninum in Handrup (Emsland)",,Hochschule Osnabrück
https://openalex.org/W3082729816,"HS Osnabrueck, Verfahrenstechnik, Albrechtstr. 30, 49076 Osnabrueck, Germany",,Hochschule Osnabrück
https://openalex.org/W4399458145,"Faculty of Engineering and Computer Science, Osnabrück University of Applied Sciences, Osnabrück, Germany",,Hochschule Osnabrück
https://openalex.org/W4404224799,"Department of Biology/Chemistry, Bioanalytical Chemistry Section, Osnabrück University, Osnabrück, Germany. florian.froehlich@uos.de",,Hochschule Osnabrück
https://openalex.org/W4404580568,"Department of Biology, University of Osnabrück, Barbarastraße 11, D-49076, Osnabrück, Germany",,Hochschule Osnabrück
https://openalex.org/W4207084111,"Akademischer Rat auf Zeit am Lehrstuhl für Strafrecht, Wirtschafts- und Steuerstrafrecht der Universität Osnabrück (Prof. Dr. Roland Schmitz). Osnabrück . Germany",,Hochschule Osnabrück
https://openalex.org/W4200589951,"Faculty of Human Sciences, Osnabrück University",,Hochschule Osnabrück
https://openalex.org/W3173424891,Plant Breeding University of Applied Sciences  Osnabreuck Germany,,Hochschule Osnabrück
https://openalex.org/W4394673603,"Heilpädagogische Hilfe Osnabrück (HHO) Wohnen gGmbH, Ambulanter Pflegedienst, Buersche Straße 143, 49084, Osnabrück, Deutschland. s.ballmann@os-hho.de",,Hochschule Osnabrück
https://openalex.org/W4402562418,"Department of Psychology, University of Osnabrück, Knollstraße 15, Osnabrück 49088, Germany",,Hochschule Osnabrück
https://openalex.org/W3195961189,", Osnabrück, Germany",,Hochschule Osnabrück
https://openalex.org/W4236328795,Dr. St. Oelschig (Osnabrück) und Herrn Prof. Dr. St,,Hochschule Osnabrück
https://openalex.org/W3010517077,"Alfred Mengel, bis 2010 Pfarrer der Evangelisch-reformierten Gemeinde 						Lengerich (Emsland) und Präses des Synodalverbandes Emsland-Osnabrück, 						arbeitet als Religionslehrer am Gymnasium Leoninum, Handrup 						(Emsland)",,Hochschule Osnabrück
https://openalex.org/W4387330425,"Osnabrück University Center of Cellular Nanoanalytic Osnabrück (CellNanOs), 49076, Osnabrück, Germany. florian.froehlich@uos.de",,Hochschule Osnabrück
https://openalex.org/W4385214031,Osnabrück U,,Hochschule Osnabrück
https://openalex.org/W4387330425,"Osnabrück University Department of Biology/Chemistry Bioanalytical Chemistry section, 49076, Osnabrück, Germany. florian.froehlich@uos.de",,Hochschule Osnabrück
https://openalex.org/W3160039828,Cognitive Science Osnabrück University  Osnabrück Germany,,Hochschule Osnabrück
https://openalex.org/W3094287138,"Materials Design and Structural Integrity Laboratory, Faculty of Engineering and Computer Sciences, Osnabrück University of Applied Sciences, 49076, Osnabrück, Germany",,Hochschule Osnabrück
https://openalex.org/W3108184731,"Department of Structural Biology, University of Osnabrück, Barbarastraße 13, 49076, Osnabrück, Germany",,Hochschule Osnabrück
https://openalex.org/W3042927793,University of Osnabruck Germany,,Hochschule Osnabrück
https://openalex.org/W4399816378,"Department of Biology/Chemistry, Biochemistry Section, Osnabrück University, 49076, Osnabrück, Germany. cu@uos.de",,Hochschule Osnabrück
https://openalex.org/W4213303840,"Hochschule Osnabrück,  Germany",,Hochschule Osnabrück
https://openalex.org/W3047106639,"Department of Mathematics/Computer Science, Institute for Environmental Systems Research, University of Osnabrück, 49076, Osnabrück, Germany",,Hochschule Osnabrück
https://openalex.org/W4403989177,"Department of Zoology & Developmental Biology, University of Osnabrück, 49076, Osnabrück, Germany. achim.paululat@uos.de",,Hochschule Osnabrück
https://openalex.org/W4380610999,"Alfred Mengel, Lengerich (Emsland), bis 2010 Pfarrer der Evangelisch-reformierten Gemeinde Lengerich und Präses des Synodalverbandes Emsland- Osnabrück, arbeitet als Religionslehrer am Gymnasium Leoninum in Handrup",,Hochschule Osnabrück
https://openalex.org/W4395481919,"Department of Accounting and Information Systems, Osnabrück University, Katharinenstraße 3, 49074, Osnabrück, Germany",,Hochschule Osnabrück
https://openalex.org/W4386997340,Osnabruck University  Osnabruck Germany,,Hochschule Osnabrück
https://openalex.org/W3199949000,"Department of Human Sciences, Osnabrück University",,Hochschule Osnabrück
https://openalex.org/W2999127023,"Department of Ecology, School of Biology/Chemistry, University of Osnabrück, Osnabrück, Germany. Electronic address: christiankost@gmail.com",,Hochschule Osnabrück
https://openalex.org/W4313446383,"Fachgebiet Informationsmanagement und Wirtschaftsinformatik, Universität Osnabrück, Parkstraße 40, 49080, Osnabrück, Deutschland",,Hochschule Osnabrück
https://openalex.org/W4293249812,Institute for Health Research and Education (IGB) Osnabrück University Osnabrück Germany,,Hochschule Osnabrück
