id,raw_affiliation_string,in_oal_missing,in_kb_missing,validation,comment
https://openalex.org/W3164664747,"MHH Kinderklinik Station 61b, Paediatrics, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4377695812,"RESIST – Cluster of Excellence 2155 to Hanover Medical School, Satellite Center Freiburg, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3003251154,"Medizinische Psychologie, MHH Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4386530647,"RESIST – Cluster of Excellence 2155 to Hanover Medical School, Satellite Center Freiburg, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3085883720,"Klinik für Dermatologie, Allergologie und Venerologie, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4200157905,"Institute for Immunodeficiency, Center for Chronic Immunodeficiency (CCI), Medical Center, Faculty of Medicine, Albert-Ludwigs-University of Freiburg, Germany; DZIF - German Center for Infection Research, Satellite Center Freiburg, Germany; CIBSS - Centre for Integrative Biological Signalling Studies, Albert-Ludwigs University, Freiburg, Germany; RESIST - Cluster of Excellence 2155 to Hanover Medical School, Satellite Center Freiburg, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4416705615,"Neuropädiatrie, MHH Hannover, Hannover, Deutschland",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4401439462,"Department of Nephrology and Hypertension, University Hospital Schleswig-Holstein Campus Kiel, Kiel, Germany; Department of Internal Medicine III, Cardiology, University Hospital Schleswig-Holstein, Campus Kiel, Kiel, Germany; German Center for Cardiovascular Research (DZHK), Partner site Hamburg/Kiel/Lübeck, Germany; Peter L. Reichertz Institute for Medical Informatics (PLTI), TU Braunschweig and Hannover Medical School, Hannover, Germany; German Organ Procurement Organization (DSO), Frankfurt am Main, Germany; Eurotransplant International Foundation, Leiden,Netherlands; Institute of Ethics and History of Medicine, University Medicine Göttingen, Göttingen, Germany; Division of Clinical Transplantation Medicine, Department of General, Visceral, Thoracic, Transplantation and Pediatric Surgery, University Hospital Schleswig Holstein Campus Kiel, Kiel, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4306919506,"Resolving Infection Susceptibility (RESIST) Cluster of Excellence, Hanover Medical School, Satellite Center Freiburg, Freiburg, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3117665844,"Department of Otolaryngology, Medical University Hannover and Cluster of Excellence Hearing4all, Hanover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3005573859,"Institute for Experimental Virology, TWINCORE, Centre for Experimental and Clinical Infection Research, A Joint Venture Between the Medical School Hannover (MHH) and theHelmholtz Centre for Infection Research (HZI), Hannover, Feodor-Lynen-Str. 7, 30625 Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,"TWINCORE is a joint venture between the Medical School Hannover and the Helmholtz Centre for Infection Research, it is not in the GERIT"
https://openalex.org/W3110372769,"Department of Pediatric Hematology and Oncology, Children's Hospital of Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,FALSE,
https://openalex.org/W3084306916,"Department of Clinical Microbiology, Virology & Wallenberg Centre for Molecular Medicine, Umeå University, Umeå, Sweden; Institute for Experimental Virology, TWINCORE, Centre for Experimental and Clinical Infection Research, a joint venture between the Medical School Hannover and the Helmholtz Centre for Infection Research, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,"TWINCORE is a joint venture between the Medical School Hannover and the Helmholtz Centre for Infection Research, it is not in the GERIT"
https://openalex.org/W3193102476,"Centre for Individualized Infection Medicine, a Joint Venture of Helmholtz Centre for Infection Research and Medical School Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3176917565,"Institute of Human Genetics, Medical School Hannover, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4317860930,"From the Department of Neurology (M.W.H., F.B., D.T., S.G., C.T.), Hannover Medical School, Germany; Department of Neurology (I.A., T.P., K.H., I.K.), St. Josef Hospital, Ruhr University Bochum, Germany; Department of Neurology (L.K.), University of Münster, Germany; Department of Neurology and Institute of Neuroimmunology and MS (INIMS) (V.H., J.-P.S.), University Medical Center Hamburg-Eppendorf, Germany; Aix-Marseille Univ (J.-P.S.), CNRS, CRMBM, UMR 7339, Marseille Cedex, France; APHM (J.-P.S.),",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W2997909463,"Institute for Experimental Virology, TWINCORE Centre for Experimental and Clinical Infection Research, Medical School Hannover (MHH) – Helmholtz Centre for Infection Research (HZI), Feodor-Lynen-Strasse 7, 30625, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,"TWINCORE is a joint venture between the Medical School Hannover and the Helmholtz Centre for Infection Research, it is not in the GERIT"
https://openalex.org/W3174211412,"Institute for Immunodeficiency, Center for Chronic Immunodeficiency, Medical Center, Faculty of Medicine, Albert-Ludwigs-University of Freiburg, Freiburg, Germany; RESIST - Cluster of Excellence 2155 to Hanover Medical School, Satellite Center Freiburg, Freiburg, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4379509227,"Engaged as an expert witness appointed by the public prosecutor and/or the court in the case N.H.; Institute for Forensic Medicine, Justus Liebig University Giessen (JLU), University Hospital Gießen & Marburg; Department of Psychiatry, Psychotherapy, and Psychosomatic Medicine, University Hospital RWTH Aachen; Institute for Forensic Medicine, Hanover Medical School (MHH)",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3134670996,Institute for Experimental Virology TWINCORE Centre for Experimental and Clinical Infection Research Medical School Hannover (MHH) – Helmholtz Centre for Infection Research (HZI) Hannover Germany,Medizinische Hochschule Hannover (MHH),,TRUE,"TWINCORE is a joint venture between the Medical School Hannover and the Helmholtz Centre for Infection Research, it is not in the GERIT"
https://openalex.org/W3131058580,"Department of Diagnostic and Interventional Radiology, MHH, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4280572813,"University Hospital, Hannover Herzrhythmus Centrum, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,FALSE,"I am not sure here because University Hospital, Hannover Herzrhythmus Centrum belongs to MHH. The hospital is not in GERIT"
https://openalex.org/W4220952084,"Institute of Music Physiology and Musicians' Medicine, Hannover University of Music Drama and Media, Neues Haus 1, 30175 Hannover, Germany Prince of Wales Clinical School, Faculty of Medicine, UNSW Sydney, Australia",Medizinische Hochschule Hannover (MHH),,FALSE,
https://openalex.org/W4388596260,"Institute for Molecular and Translational Therapeutic Strategies (IMTTS) , Hannover , Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3180289530,"Cluster of Excellence Hearing4all, Hanover 30167, Germany",Medizinische Hochschule Hannover (MHH),,FALSE,
https://openalex.org/W3088321209,"Department of Pneumology, Hanover Medical School, Member of the German Center for Lung Research (DZL), Hanover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4387909826,"Helmholtz Centre for Infection Research, Braunschweig 2 Centre for Individualized Infection Medicine, a joint venture of the Helmholtz Centre for Infection Research and the Medical School Hannover",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3092990532,"institute for Reproductive Medicine, Veterinary School of Hannover, Bunteweg 15, D-30559, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,FALSE,
https://openalex.org/W4293147871,MHH / Klinik und Poliklinik für HNO-Heilkunde Hannover,Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4213230007,"RESIST—Cluster of Excellence 2155 to Hanover Medical School, Satellite Center Freiburg, Freiburg, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3080421466,"Sektion Endo-Exo-Prothetik, Unfallchirurgische Klinik, MHH, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3039795571,"RESIST - Cluster of Excellence 2155 to Hanover Medical School, Satellite Center Freiburg, Freiburg, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3091062139,"Institute for Experimental Virology, TWINCORE, Centre for Experimental and Clinical Infection Research, a joint venture between the Medical School Hannover and the Helmholtz Centre for Infection Research, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,"TWINCORE is a joint venture between the Medical School Hannover and the Helmholtz Centre for Infection Research, it is not in the GERIT"
https://openalex.org/W4383103548,"TWINCORE, Centre for Experimental and Clinical Infection Research, Feodor-Lynen-Str. 7, D-30625 Hannover",Medizinische Hochschule Hannover (MHH),,TRUE,"TWINCORE is a joint venture between the Medical School Hannover and the Helmholtz Centre for Infection Research, it is not in the GERIT"
https://openalex.org/W3022557579,"Department of Otolaryngology, Medical University Hannover and Cluster of Excellence Hearing4all, Hanover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4318406698,"Hannover School of Medicine and German Center for Lung Research, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4387952249,"Peter L. Reichertz Institute for Medical Informatics, Hannover, Deutschland",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4362638831,"Department of Pediatrics, MHH, Hanover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W3004951733,"Klinik für Psychiatrie, Sozialpsychiatrie und Psychotherapie, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4293148992,"Klinikum Region Hannover Nordstadt Krankenhaus, Klinik für Hals-Nasen-Ohrenheilkunde und regionale plastische Chirurgie, Kopf-Hals-Tumorzentrum Hannover",Medizinische Hochschule Hannover (MHH),,FALSE,
https://openalex.org/W3046613416,"RESIST – Cluster of Excellence 2155 to Hanover Medical School, Satellite Center Freiburg, Freiburg, Germany",Medizinische Hochschule Hannover (MHH),,TRUE,
https://openalex.org/W4309729154,"Klinik für Orthopädie und Unfallchirurgie, DIAKOVERE Friederikenstift, Hannover, Deutschland",Medizinische Hochschule Hannover (MHH),,FALSE,
https://openalex.org/W4281293446,"Neurologische Klinik mit Klinischer Neurophysiologie OE 7210, Carl-Neuberg-Str. 1, 30625, Hannover, Germany",Medizinische Hochschule Hannover (MHH),,FALSE,
https://openalex.org/W4310082799,TWINCORE Centre for Experimental and Clinical Infection Research GmbH Institute for Experimental Virology  Feodor-Lynen-Str. 7 30625 Hannover Germany,Medizinische Hochschule Hannover (MHH),,FALSE,
https://openalex.org/W3210918857,"TWINCORE-Centre for Experimental and Clinical Infection Research, Institute of Experimental Virology, Feodor-Lynen-Str. 7–9, 30625 Hannover, Germany",Medizinische Hochschule Hannover (MHH),,FALSE,
