id,raw_affiliation_string,in_oal_missing,in_kb_missing,validation,comment
https://openalex.org/W3096875519,"Fire Department, City of Braunschweig and Department of Anesthesiology, Braunschweig Hospitals gGmbH; Institute for the History and Ethics of Medicine, Medical Faculty, University of Halle-Wittenberg (Saale); Institute for Family Practice, Medical Faculty, University of Essen-Duisburg; Fire Department, City of Braunschweig; Faculty of Public Health Services, Ostfalia University of Applied Sciences, Campus Wolfsburg; Department of Anesthesiology, Intensive Care Medicine, Emergency Medicine, and Pain Therapy, Klinik am Eichert, Alb Fils Hospitals, Göppingen",Ostfalia Hochschule für angewandte Wissenschaften,,True,
https://openalex.org/W3117569994,"Professor, bpi Hannover–Beratende Ingenieure, Mengendamm 16D, 30177 Hanover, Germany; Faculty of Civil and Environmental Engineering, Ostfalia Univ. of Applied Sciences, Herbert-Meyer-St. 7, 29556 Suderburg, Germany; infra2structure, Mengendamm 16D, 30177 Hanover, Germany",Ostfalia Hochschule für angewandte Wissenschaften,,True,
https://openalex.org/W4402441502,IU International University of Applied Sciences (Campus Braunschweig),Ostfalia Hochschule für angewandte Wissenschaften,,False,Internationale Hochschule
https://openalex.org/W4210509599,"Trier University of Applied Science Birkenfeld, Institute for Transformation Design HBK Braunschweig, Trier, Germany",Ostfalia Hochschule für angewandte Wissenschaften,,False,HBK
https://openalex.org/W4297369746,"IU International University of Applied Sciences, Brunswick, Germany",Ostfalia Hochschule für angewandte Wissenschaften,,False,Internationale Hochschule
https://openalex.org/W4229064956,"AOK Niedersachsen, F1-Division of Politics, Research, and Public Relations, Hannover; Ostfalia University of Applied Sciences, Faculty of Health and Health Care Sciences, Wolfsburg; Hannover Medical School, Department of Psychiatry, Social Psychiatry and Psychotherapy, Hannover; Leibniz University Hannover, Center for Health Economics Research Hannover (CHERH), Institute of Health Economics (IHE), Hannover",Ostfalia Hochschule für angewandte Wissenschaften,,True,
https://openalex.org/W4404757064,"Städtisches Klinikum Wolfenbüttel, Klinik für orthopädische Chirurgie, Sporttraumatologie und Unfallchirurgie, Wolfenbüttel, Deutschland",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W4403777264,"independent researcher: Wolfenbüttel, Germany",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W3094505249,"Department of Orthopedic Surgery, Sports Traumatology and Trauma Surgery, Staedtisches Klinikum Wolfenbuettel, Alter Weg 80, 38302, Wolfenbuettel, Germany. Imke.Schmerwitz@khwf.de",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W4395452278,"ASA Spezialenzyme GmbH, Am Exer 19c, 38302, Wolfenbüttel, Germany",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W4320728618,"Institute for Prenatal Health GmbH, Wolfenbüttel, Germany",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W3177561479,", Professor-Plücker-Str. 5, 38302, Wolfenbüttel, Deutschland. kira.maureen@hotmail.de",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W3112213133,"Institut für Information Engineering, Fakultät Informatik, Ostfalia Hochschule für angewandte Wissenschaften, Wolfenbüttel, Deutschland",,Ostfalia Hochschule für angewandte Wissenschaften,True,
https://openalex.org/W4405221798,"BirdLife Germany (NABU), An der Tongrube 10A, 38302 Wolfenbüttel, Germany",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W3181276163,"Klinik für orthopädische Chirurgie, Sporttraumatologie und Unfallchirurgie, Städtisches Klinikum Wolfenbüttel, Alter Weg 80, 38302, Wolfenbüttel, Deutschland. Imke.schmerwitz@khwf.de",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W4384826624,Der Ursprung des Welfenhauses und seine Verzweigung in Süddeutschland. Wolfenbüttel 1899. S. 1f,,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W4404756723,"Städtisches Klinikum Wolfenbüttel, Wolfenbüttel, Deutschland",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W3181276163,"Klinik für orthopädische Chirurgie, Sporttraumatologie und Unfallchirurgie, Städtisches Klinikum Wolfenbüttel, Alter Weg 80, 38302, Wolfenbüttel, Deutschland",,Ostfalia Hochschule für angewandte Wissenschaften,False,
https://openalex.org/W4323569955,"Oststr. 21, 59399, Olfen, Deutschland",,Ostfalia Hochschule für angewandte Wissenschaften,False,
