id,raw_affiliation_string,in_oal_missing,in_kb_missing
https://openalex.org/W4386033990,"Department of Neurosurgery and Spine Surgery, Niels-Stensen-Kliniken Osnabrück, Osnabrüc, Germany; Faculty of Human Science, Department of Human Medicine, Medical School Hamburg, Hamburg, Germany; Department of Medicine, Faculty of Health, Witten/Herdecke University, Witten, Germany",Universität Osnabrück,
https://openalex.org/W4283010754,"Epilepsy Center Münster-Osnabrück, Department of Neurology with Institute of Translational Neurology, Westfälische Wilhelms-University, Münster, Germany; Department of Neurology, Klinikum Osnabrück, Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W4404515839,"Institute of Pathology, University Medical Center Hamburg-Eppendorf, Hamburg, Germany; Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",Universität Osnabrück,
https://openalex.org/W3203061994,"BMS-Umweltplanung in association with University of Bremen, Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W4405133702,"Department of Neurology, University Clinic Osnabrück, Am Finkenhügel 1, 49076, Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W4397024186,"Institute of Cognitive Science, Osnabr&#x00FC;ck University, Osnabr&#x00FC;ck, Germany",Universität Osnabrück,
https://openalex.org/W4387841938,"Department of Orthopedic Surgery, University Hospital Erlangen, Friedrich-Alexander-Universität (FAU), Erlangen-Nürnberg, Krankenhausstr. 12, Erlangen 91054, Germany; Center for Muskuloskeletal Surgery Osnabrück (OZMC), Klinikum Osnabrück GmbH, Klinikum Osnabrück, Am Finkenhügel 1, Osnabrück 49076, Germany",Universität Osnabrück,
https://openalex.org/W4285806202,"Institute of Pathology, University Medical Center Hamburg-Eppendorf, Hamburg, Germany; Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",Universität Osnabrück,
https://openalex.org/W3135113128,"Department of Neurology, Ludwigshafen Hospital, Ludwigshafen; Quality Assurance Agency of Rhineland-Palatinate, Mainz; DRG Market, Osnabrück; Helmholtz Center Munich - German Research Center for Health and the Environment (Ltd), Institute for Health Economics and Management in Healthcare, Neuherberg; Oberwallis Hospital Center, Visp, Switzerland; Institute for Medical Biometry and Epidemiology, University Medical Center Hamburg-Eppendorf, Hamburg",Universität Osnabrück,
https://openalex.org/W3025239018,"Curator of the Coin Cabinet, Niedersächsisches Landesmuseum - Das WeltenMuseum Hannover Germany Lecturer in Medieval History, Faculty of History, University of Osnabrück Osnabrück Germany",Universität Osnabrück,
https://openalex.org/W4220833558,"Epilepsy Center Münster-Osnabrück, Department of Neurology with Institute of Translational Neurology, Westfälische Wilhelms-University, Münster, Germany; Department of Neurology, Klinikum Osnabrück, Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W4392996121,"Department of Neurology and Neurorehabilitation, Klinikum Osnabrück – Academic Teaching Hospital of the University of Münster, Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W4296713929,"Epilepsy Center Münster-Osnabrück, Department of Neurology with Institute of Translational Neurology, Westfälische Wilhelms-University, Münster, Germany",Universität Osnabrück,
https://openalex.org/W4213062218,"Universit&#x00E4;t Osnabr&#x00E4;ck, Germany",Universität Osnabrück,
https://openalex.org/W4291019625,"From the Epilepsy Center Frankfurt Rhine-Main (I.B., F.R., A.S.), LOEWE Center for Personalized Translational Epilepsy Research (CePTER) (I.B., F.R.), and Department of Neurology (I.B., F.R., A.S.), Goethe-University, Frankfurt am Main, Germany; Department of Neurology (I.B., A.O.R.), Centre Hospitalier Universitaire Vaudois (CHUV) and University of Lausanne, Switzerland; Department of Neurology (C.K.), Klinikum Osnabrück; Epilepsy Center (C.K.), Münster-Osnabrück, Campus Osnabrück, Osnabrück,",Universität Osnabrück,
https://openalex.org/W3086224539,"Institute for Psychology, University Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W4200405051,"Authors email:[email protected]Management-Berater und Senior Business-Coach (DBVC + IOBC) auf Top-Management-/Executive- Ebene in Dax-Unternehmen und im MittelstandGilt als Coaching-Pionier in DeutschlandGeschäftsführender Gesellschafter der Böning-Consult® GmbH Schwerpunkt neben Business- Coaching: Leadership, Veränderungsmanagement: Umsetzung von Strategie- und Reorganisationsprojekten, Stress und ResilienzDiplompsychologe und Klinischer Psychologe (DGVT)War Lehrbeauftragter an verschiedenen Universitäten / Hochschulen: Fontainebleau, Osnabrück, Freiburg, Mannheim); heute Frankfurt",Universität Osnabrück,
https://openalex.org/W3165377178,"Osnabrueck University, Institute of Psychology, Seminarstrasse 20, 49074, Osnabrueck, Germany",Universität Osnabrück,
https://openalex.org/W4400093633,"Helmholtz Centre for Environmental Research -UFZ, Permoserstr. 15, 04318 Leipzig, Germany ad University of Osnabrück, Barbarastraße 12, 49076 Osnabrück, Germany ae Copernicus Institute of Sustainable Development, Environmental Sciences, Faculty of Geosciences, Utrecht University, Utrecht, the Netherlands af Center for Theoretical Study, Charles University, Husova 4, 110 00 Prague, Czech Republic ag Department of Ecology, Faculty of Science, Charles University, Viničná 7, 128 44 Prague, Czech Republic ah Consejo Nacional de investigaciones Científcas y Técnicas, Instituto Multidisciplinario de Biología Vegetal (IMBIV), Córdoba, Argentina",Universität Osnabrück,
https://openalex.org/W4392900137,"Department of Neurology and Neurorehabilitation, Klinikum Osnabrueck - Academic teaching hospital of the University of Muenster, Osnabrueck, Lower Saxony, Germany",Universität Osnabrück,
https://openalex.org/W4309761356,"Epilepsy Center Münster-Osnabrück, Department of Neurology with Institute of Translational Neurology, Westfälische Wilhelms-University, Münster, Germany",Universität Osnabrück,
https://openalex.org/W4390942662,"University Hospital Muenster, Muenster, North Rhine-Westphalia, Germany/ Klinikum Osnabrück, Osnabrück, Lower Saxony, Germany",Universität Osnabrück,
https://openalex.org/W4390718873,"Department of Neurology and Neurorehabilitation, Klinikum Osnabrück - Academic Teaching Hospital of the University of Münster, Am Finkenhügel 1, 49076, Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W3181712298,Universitätsbibliothek Osnabrück Alte Münze 16 49074 Osnabrück Deutschland,Universität Osnabrück,
https://openalex.org/W4283010754,"Epilepsy Center Münster-Osnabrück, Department of Neurology with Institute of Translational Neurology, Westfälische Wilhelms-University, Münster, Germany",Universität Osnabrück,
https://openalex.org/W4223962489,"Institute of Pathology, University Medical Center Hamburg-Eppendorf, Hamburg, Germany; Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",Universität Osnabrück,
https://openalex.org/W3127868023,"Institute for Interdisciplinary Dermatologic Prevention and Rehabilitation (iDerm) of the University of Osnabrück and Dermatologic Center, BG Trauma Hospital Hamburg  Hamburg Germany",Universität Osnabrück,
https://openalex.org/W4396777454,"Department of Neurology and Neurorehabilitation, Klinikum Osnabrück- Academic Teaching Hospital of the University of Münster, Am Finkenhügel 1, 49076, Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W3139140229,Institute of Chemistry of New Materials Center of Physics &amp; Chemistry of New Materials University of Osnabrück  Barbarastr. 7 49069 Osnabrück Germany,Universität Osnabrück,
https://openalex.org/W4389348465,"Universität Osnabrück, Osnabrück, Deutschland. Anja.kwetkat@klinikum-os.de",Universität Osnabrück,
https://openalex.org/W4403907442,"Institute of Pathology, University Medical Center Hamburg-Eppendorf, Hamburg, Germany; Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",Universität Osnabrück,
https://openalex.org/W4220833558,"Epilepsy Center Münster-Osnabrück, Department of Neurology with Institute of Translational Neurology, Westfälische Wilhelms-University, Münster, Germany",Universität Osnabrück,
https://openalex.org/W4220819943,"Epilepsy Center Münster-Osnabrück, Department of Neurology with Institute of Translational Neurology, Westfälische Wilhelms-University, Münster, Germany",Universität Osnabrück,
https://openalex.org/W4400382246,"Department of Neurology and Neurorehabilitation, Klinikum Osnabrück-Academic Teaching Hospital of the University of Münster, 49076, Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W3108706702,"Institute of Empirical Economic Research, Osnabrueck University, Rolandstraße 8, 49074 Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W4292381844,"Epilepsy Center Münster-Osnabrück, Department of Neurology with Institute of Translational Neurology, University Hospital Münster—Westfälische Wilhelms-University, Münster, Germany",Universität Osnabrück,
https://openalex.org/W4390718873,"Department of Neurology and Neurorehabilitation, Klinikum Osnabrück - Academic Teaching Hospital of the University of Münster, Am Finkenhügel 1, 49076, Osnabrück, Germany. tobias.warnecke@klinikum-os.de",Universität Osnabrück,
https://openalex.org/W4226402767,"Beispiel des deutschen und ungarischen Strafrechts, Universitätsverlag Osnabrück, Göttingen 2011, s",Universität Osnabrück,Georg-August-Universität Göttingen
https://openalex.org/W3183814766,"nstitut für Gesundheitsforschung und Bildung, Osnabrück, Germany",Universität Osnabrück,
https://openalex.org/W4392821584,"Institut f&#x00FC;r Kognitionswissenschaft, Osnabr&#x00FC;ck, Germany",Universität Osnabrück,
https://openalex.org/W4224028166,"Institute for Interdisciplinary Dermatologic Prevention and Rehabilitation (iDerm) University of Osnabrück and Dermatologic Centre, Trauma Hospital Hamburg  Hamburg Germany",Universität Osnabrück,
https://openalex.org/W3122357460,"UniversitÃ¤t OsnabrÃ¼ck, Germany",Universität Osnabrück,
https://openalex.org/W4328007154,"Osnabr&#x00FC;ck University, Osnabr&#x00FC;ck, Germany",Universität Osnabrück,
https://openalex.org/W4220720906,"Epilepsy Center Münster‐Osnabrück Department of Neurology, Institute of Translational Neurology University of Münster  Münster Germany",Universität Osnabrück,
https://openalex.org/W3206729879,"Dr. Diaa-Eldin Hassanein ist Arabist und Religionspädagoge, dessen Schwerpunkte in der Entwicklung von Unterrichtsmethoden in der Kombination zwischen der Vermittlung der arabischen Sprache und Religionspädagogik liegen. Er war bis September 2020 als wissenschaftlicher Mitarbeiter am Institut für Islamische Theologie der Universität Osnabrück tätig",Universität Osnabrück,
https://openalex.org/W4394873087,"Klinik für Neurologie mit Institut für Translationale Neurologie, Parkinsonzentrum Münster-Osnabrück (PAMOS), Universitätsklinikum Münster, Albert-Schweitzer-Campus 1, 48149, Münster, Deutschland. inga.claus@ukmuenster.de",Universität Osnabrück,
https://openalex.org/W4212930069,"Alexander von Humboldt-Professorship of Environmental Economics, School of Business Administration and Economics and Institute for Environmental Systems Research, University of Osnabruck, Germany",Universität Osnabrück,
https://openalex.org/W4313259016,"Ass. iur. Marcel Patric Iden, M.Sc. M.A. is a researcher on organised crime in the aforementioned project at the University of Osnabrück",Universität Osnabrück,
https://openalex.org/W3174653632,"Department of Neurology with Institute of Translational Neurology, University of Münster, Albert-Schweitzer-Campus 1, Gebäude A1, 48149 Münster, Germany; Department of Neurology, Klinikum Osnabrück, Am Finkenhügel 1, 49076 Osnabrück, Germany. Electronic address: lisamarie.langenbruch@ukmuenster.de",Universität Osnabrück,
https://openalex.org/W4212856371,"Epilepsy Center Münster‐Osnabrück Department of Neurology, Institute of Translational Neurology University of Münster  Münster Germany",Universität Osnabrück,
https://openalex.org/W3111677710,"Independent Researcher, 49032 Osnabrück, Germany",,Universität Osnabrück
https://openalex.org/W4311658379,"Laboratory of Plastics Simulation and Fiber Reinforced Plastics , University of Applied Sciences , Osnabrück , 49076 Osnabrück , Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4378468980,"Faculty of Business Management and Social Sciences, University of Applied Sciences Osnabrück, Caprivistraße 30a, 49076, Osnabrück, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W3194321913,"Institute of Pathology, Clinical Centre Osnabrück, D‑49076 Osnabrück, Germany",,Universität Osnabrück
https://openalex.org/W4320031263,Universität Osnabrück (Germany),,Universität Osnabrück
https://openalex.org/W4404789816,"Institute for Dual Study Programmes, Faculty of Management, Culture and Technology, University of Applied Sciences Osnabrueck, 49809 Lingen, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4388461776,"University of Applied Sciences, Faculty of Business and Social Sciences, Osnabrück, Germany; Department of Physical Therapy, Faculty of Rehabilitation Medicine, University of Alberta, Edmonton Canada",,Universität Osnabrück
https://openalex.org/W4214868023,"Department of Dermatology, Environmental Medicine and Health Theory, University of Osnabrück, Osnabrück, Germany",,Universität Osnabrück
https://openalex.org/W3007373119,"Botanical Garden of the University of Osnabrueck, Albrechtstrasse 29, 49076 Osnabrueck, Germany.
I.M. Sechenov First Moscow State Medical University Ministry of Health of the Russian Federation, Department of Pharmaceutical and Natural Sciences, Izmailovsky Boulevard, 8, Moscow, 105043, Russian Federation",,Universität Osnabrück
https://openalex.org/W4388093709,"Department of Economics, Osnabrück University, Osnabrück, Germany",,Universität Osnabrück
https://openalex.org/W3092130295,"Freie Medizinjournalistin, Abt-Führer-Str. 9 a, 82256, Fürstenfeldbruck, Germany. hofmann_assmus@t-online.de",,Universität Osnabrück
https://openalex.org/W4226050213,"Department of Horticultural Production, University of Applied Science, 49090 Osnabrück, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4200424901,Laboratory of Chemistry and Surface Modification University of Applied Sciences  Osnabrueck Germany,Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4392468067,"Health Informatics Research Group, Department of Business Management and Social Sciences, Osnabrück University of Applied Sciences, P.O. Box 1944, D-49009 Osnabrück, Germany. Electronic address: j.huesers@hs-osnabrueck.de",,Universität Osnabrück
https://openalex.org/W4402995700,"Institute of Pathology, Clinical Center Osnabrueck, 49078 Osnabrueck, Germany",,Universität Osnabrück
https://openalex.org/W4307009303,Institute of Pathology Clinical Center Osnabrueck  Osnabrueck Germany,,Universität Osnabrück
https://openalex.org/W3199494499,"Department of Physical Therapy and Rehabilitation science, University of Applied Science Osnabruck, Germany",,Universität Osnabrück
https://openalex.org/W3003171650,"Fachbereich Physik, Universität Osnabrück , Barbarastr. 7 , D-49076 Osnabrück , Germany",,Universität Osnabrück
https://openalex.org/W4393930568,"Diocese of Osnabrück, 49074 Osnabrück, Germany",,Universität Osnabrück
https://openalex.org/W4385706849,"Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",,Universität Osnabrück
https://openalex.org/W3128044566,"Faculty of Engineering and Computer Science, University of Applied Sciences Osnabrck, Osnabrck, Germany",,Universität Osnabrück
https://openalex.org/W4283726532,"Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",,Universität Osnabrück
https://openalex.org/W3048593384,"Material Design and Structural Integrity Lab, Faculty of Engineering and Computer Sciences, Osnabrück University of Applied Sciences, Albrecht St. 30, 49076, Osnabrück, Germany. j.mola@hs-osnabrueck.de",,Universität Osnabrück
https://openalex.org/W3171156305,"Division of Vegetable Production and Processing, University of Applied Sciences Osnabrueck, Am Krümpel 31, 49090 Osnabrueck, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4405238750,"a:1:{s:5:""pt_BR"";s:6:""UNEMAT"";}",,Universität Osnabrück
https://openalex.org/W4307455432,"University of Applied Sciences, Faculty of Business and Social Sciences, Osnabrück, Germany; Faculty of Rehabilitation Medicine, Department of Physical Therapy, University of Alberta, Edmonton Canada",,Universität Osnabrück
https://openalex.org/W4399977152,"Faculty Business Management and Social Sciences, University of Applied Science Osnabrueck, Albrechtstraße 30, 49076, Osnabrück, Germany. a.griefahn@hs-osnabrueck.de",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W3128526300,"Institut für Mathematik, Universität Osnabrück",,Universität Osnabrück
https://openalex.org/W4319599824,"Health service for the district and city of Osnabrück, 49082 Osnabrück, Germany",,Universität Osnabrück
https://openalex.org/W3033718807,"Universität Osnabrück, Fachbereich Physik, D-49069 Osnabrück, Germany",,Universität Osnabrück
https://openalex.org/W4402496166,"Department of Animal Husbandry and Poultry Sciences, Osnabrueck University of Applied
Sciences, Osnabrueck, Germany",Hochschule Osnabrück,Universität Osnabrück
https://openalex.org/W4400849174,University of Osnabrück,,Universität Osnabrück
https://openalex.org/W4384067930,. Bd. 3. Osnabrück 1967,,Universität Osnabrück
https://openalex.org/W3115132106,Physics Department University of Osnabrück  Osnabrück 49076 Germany,,Universität Osnabrück
https://openalex.org/W4295957138,"University of Applied Sciences, Faculty of Business and Social Sciences, Osnabrück, Germany; Faculties of Rehabilitation Medicine and Medicine and Dentistry, Edmonton, Alberta, Canada",,Universität Osnabrück
https://openalex.org/W4290673507,"Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",,Universität Osnabrück
https://openalex.org/W4382468039,"Institute of Pathology, Clinical Center Osnabrueck, Osnabrueck, Germany",,Universität Osnabrück
https://openalex.org/W3007373119,"Botanical Garden of the University of Osnabrueck, Albrechtstrasse 29, 49076 Osnabrueck, Germany.
I.M. Sechenov First Moscow State Medical University Ministry of Health of the Russian Federation, Department of Pharmaceutical and Natural Sciences, Izmailovsky Boulevard, 8, Moscow, 105043, Russian Federation",,Universität Osnabrück
https://openalex.org/W4280496949,"Chemistry and Chemical Engineering Faculty Management Culture and Technology, University of Applied Sciences, Osnabrück, 49076, Germany",Hochschule Osnabrück,Universität Osnabrück
