id,raw_affiliation_string,in_oal_missing,in_kb_missing,validation
https://openalex.org/W4404010263,"Leibniz Universität Hanover, Institute of Environmental Planning, Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3000392202,"University of Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4319316523,"Institute of Food Science and Human Nutrition, Leibniz University Hanover, Hanover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4389395720,"Institute of Photogrammetry and GeoInformation, Leibniz UniversitÃ¤t Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4402456820,"Institute of Transport and Automation Technology, An der Universität 2, 30823 Garbsen, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3210439999,"Hefei National Laboratory for Physical Sciences at the Microscale, School of Chemistry and Materials Sciences, CAS Key Laboratory of Materials for Energy Conversion, and CAS Center for Excellence in Nanoscience, Synergetic Innovation Center of Quantum Information & Quantum Physics, University of Science and Technology of China , Hefei 230026, China ",Gottfried Wilhelm Leibniz Universität Hannover,,FALSE
https://openalex.org/W3084280761,"Lehrstuhl Zivilrecht und Rechtsgeschichte, D-30167Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3129041239,Institute of Continuum Mechanics Leibniz University Hanover An der Universität 1  30823 Garbsen Germany,Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W3206658218,"Institute of Transport and Automation Technology, An der Universität 2 2 , Garbsen 30823, Lower Saxony, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4388010187,"Center for Ethics and Law in the Life Sciences (CELLS), Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
https://openalex.org/W4416882540,"Institute for Microelectronic Systems, Hannover, Germany",Gottfried Wilhelm Leibniz Universität Hannover,,TRUE
