id,raw_affiliation_string,in_oal_missing,in_kb_missing,validation,comment
https://openalex.org/W4392088335,"Leibniz FH, University of Applied Sciences, Hanover, Germany",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W3188060049,"Leibniz FH, University of Applied Sciences, Hanover, Germany",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4396512150,Hanover University of Applied Sciences and Arts  Germany,Hochschule Hannover,,TRUE,
https://openalex.org/W4411242306,"University of Applied Sciences FHM Hanover, Germany",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4313458628,"Hannover University of Applied Sciences and Arts, Hanover, Lower Saxony, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3112028644,"Institute for Bioplastics and Biocomposites, University of Applied Sciences and Arts Hannover, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4360980864,"University of Applied Sciences FHM Hanover, Lister Straße 17, 30163, Hanover, Germany",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4362671386,"Department of Microbiology, Faculty of Mechanical and Bioprocess Engineering, University of Applied Sciences and Arts, 30452 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4328127378,"Department of Business Administration, Leibniz University of Applied Sciences, 30539 Hannover, Germany;",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4399379046,"Faculty II, Microbiology, Hannover University of Applied Sciences and Arts, 30453 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3095801723,"University of Applied Sciences and Arts, Hanover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4200193689,"Department of Psychology, University of Applied 					Sciences for SMEs (FHM), Hannover, Germany",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W3086537083,"Microbiology, Faculty II, Hannover University of Applied Sciences and Arts, Heisterbergallee 10a, D-30453 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4224984535,"University of Applied Sciences and Arts Hanover, 30539 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3108167468,Department of Information and Communication Faculty for Media Information and Design University of Applied Sciences and Arts Hannover Hannover Germany,Hochschule Hannover,,TRUE,
https://openalex.org/W3114667184,"Hochschule Hannover – University of Applied Sciences and Arts, Fakultät III, Department Information and Communication, Medical Information Management, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4387783651,"Department of Information and Communication, Faculty 3, Hanover University of Applied Sciences and Arts, Hanover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4381742044,"Department of Bioprocess Engineering, Microbiology, Faculty II, Hannover University of Applied Sciences and Arts, 30453 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4320035529,"Midwifery Research and Education Unit, Hannover Medical School, Germany; now: FHM, University of Applied Sciences, Germany. Electronic address: be.schoene@googlemail.com",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4214548415,"Research Group Pharmaceutical Biotechnology, TH Köln - University of Applied Sciences; Institute of Technical Chemistry, Leibniz University Hannover",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4403715397,"Faculty II, Microbiology, Hannover University of Applied Sciences and
                    Arts, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3092137957,"Faculty II, Microbiology, Hannover University of Applied Sciences and Arts, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3027865512,"National Centre for Early Prevention, German Youth Institute, Department of Families and Family Policies, Munich, Germany; Hannover University of Applied Sciences and Arts, Faculty V of Diaconic Studies, Health Care and Social Work, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3017110100,"Department of Bioprocess Engineering and Microbiology, University of Applied Sciences and Arts Hannover, D-30453 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3114667184,"Institute of Biometry and Clinical Epidemiology, Charité - Universitätsmedizin Berlin, Berlin, Germany; Berlin Institute of Health (BIH), Anna-Louisa-Karsch-Str. 2, 10178 Berlin, Germany; Hochschule Hannover - University of Applied Sciences and Arts, Fakultät III, Department Information and Communication, Medical Information Management, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4293717272,"Hanover University of Applied Sciences and Arts, Faculty V of Diaconic Studies, Health Care and Social Work, Department of Nursing and Health Care, Blumhardtstr. 2, Hanover 30625, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3212775136,"Department of Health and Social Affairs, FHM Hannover—University of Applied Sciences, 30163 Hannover, Germany",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4399323027,"Department of Business and Computer Science, Hannover University of Applied Sciences, Ricklinger Stadtweg 120, D-30459, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4389777859,"Department of Information and Communication, Faculty for Media, Information and Design, University of Applied Sciences and Arts, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4399953237,"Department of Bioprocess Engineering and Microbiology, University of Applied Sciences and Arts Hannover, D-30453 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4399896416,"Department of Psychology, Fachhochschule des Mittelstands – University of Applied Sciences, Hanover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4282973240,"Department of Information and Communication, Faculty for Media, Information and Design University of Applied Sciences and Arts Hannover  Hannover Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4399238308,Department of Business and Computer Science University of Applied Sciences Hannover  Hanover Germany,Hochschule Hannover,,TRUE,
https://openalex.org/W4200122318,"Leibniz University of Applied Sciences, Expo Plaza 11, 30539 Hannover, Germany",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4390077298,"Centre for Individualised Infection Medicine (CiiM), A Joint Venture Between the Helmholtz-Centre for Infection Research (HZI) and Hannover Medical School (MHH), Hannover, Germany; TWINCORE, Centre for Experimental and Clinical Infection Research, A Joint Venture Between the Helmholtz-Centre for Infection Research (HZI) and Hannover Medical School (MHH), Hannover, Germany; Department of Internal Medicine and Radboud Center for Infectious Diseases, Radboud University Medical Center, Nijmegen, the Netherlands; Research Centre Innovations in Care, Rotterdam University of Applied Science, Rotterdam, the Netherlands",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4297259803,"University of Applied Sciences and Arts Hannover, Faculty III – Media, Information and Design, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4405555366,"Hannover University of Applied Sciences and Arts, Hanover , Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3163266974,"Faculty II - Mechanical Engineering and Bio Process Engineering, University of Applied Sciences and Arts, Hannover, Germany",Hochschule Hannover,Gottfried Wilhelm Leibniz Universität Hannover,TRUE,"Correct for OpenAlex, false for KB"
https://openalex.org/W4221028152,"Department of Computer Science, Hannover University of Applied Sciences and Arts, Ricklinger Stadtweg 120, 30459 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4386388470,"Hannover Medical School, Midwifery Research and Education Unit, Carl-Neuberg-Str. 1, Hannover D-30625, Germany; Department Nursing and Management, Faculty of Business and Social Sciences, Hamburg University of Applied Science, Alexanderstr. 1, Hamburg D-20099, Germany",Hochschule Hannover,,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W3108385409,"Department of Bioprocess Engineering and Microbiology, University of Applied Sciences and Arts Hannover, D-30453 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4399161381,"Faculty IV–Business and Computer Science, University of Applied Sciences and Arts, Ricklinger Stadtweg 118/120, 30459, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4292171809,"Department of Bioprocess Engineering, Microbiology, Faculty II, Hannover University of Applied Sciences and Arts, 30453 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4403189208,"7Department of Media, Information, and Design, University of Applied Sciences and Arts, Hannover, Germany",Hochschule Hannover,Stiftung Tierärztliche Hochschule Hannover,TRUE,"true for OpenAlex, falce for KB"
https://openalex.org/W3134119914,"From the Department of Rehabilitation Medicine, Hannover Medical School, Hannover, Germany (LMG, CS, CG, AR); and University of Applied Sciences and Art, Hildesheim, Germany (TS-K)",Hochschule Hannover,,FALSE,
https://openalex.org/W4282973240,"Department of Information and Communication, Faculty for Media, Information and Design, University of Applied Sciences and Arts Hannover, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3100398688,"University of Applied Sciences and Arts Hannover, Faculty II, Department of Bioprocess Engineering - Microbiology, 30453 Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4394962417,"University of Applied Sciences and Arts, Hanover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W4399379046,"Faculty II, Microbiology, Hannover University of Applied Sciences and Arts, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3027865512,"Hannover University of Applied Sciences and Arts, Faculty V of Diaconic Studies, Health Care and Social Work, Hannover, Germany",Hochschule Hannover,,TRUE,
https://openalex.org/W3172005207,"Klinik für Gastroenterologie, Hepatologie und Endokrinologie, Medizinnische Hochschule Hannover, Carl-Neuberg-Str. 1, 30625, Hannover, Deutschland. deterding.katja@mh-hannover.de",,Hochschule Hannover,FALSE,paper belongs to Medizinnische Hochschule Hannover
https://openalex.org/W4389334277,"Private Practice of Radiation Oncology, Hannover, Germany. stefan.janssen@UKSH.de",,Hochschule Hannover,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4293147988,Medzinische Hochschule Hannover Hannover,,Hochschule Hannover,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4403650396,"Klinik für Gelenkchirurgie und Orthopädie Hannover (go:H), Bertastraße 10, 30159, Hannover, Deutschland",,Hochschule Hannover,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W3215820134,"Klinik für Neurologie mit Klinischer Neurophysiologie,
                    Medizinisch Hochschule Hannover, Deutschland",Medizinische Hochschule Hannover (MHH),Hochschule Hannover,FALSE,"True for OpenAlex, false for KB"
https://openalex.org/W4414614117,Hochschule FOM Hannover,,Hochschule Hannover,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4282043395,"Medizinisch Hochschule Hannover, Klinik für Hämatologie, Hämostaseologie, Onkologie und Stammzelltransplantation, Hannover, Germany;",,Hochschule Hannover,FALSE,paper does not belong to Hochschule Hannover
https://openalex.org/W4281921270,"Gelenkchirurgie OrthopädieHannover, Bertastr. 10, 30159, Hannover, Deutschland",,Hochschule Hannover,FALSE,
https://openalex.org/W4309635209,"Klinik für Gelenkchirurgie und Orthopädie Hannover (go:H), Bertastraße 10, 30159, Hannover, Germany",,Hochschule Hannover,FALSE,
https://openalex.org/W4212956164,"Medizinisch Hochschule Hannover, Klinik für Hämatologie, Hämostaseologie, Onkologie und Stammzelltransplantation, Hannover, Germany;",Medizinische Hochschule Hannover (MHH),Hochschule Hannover,FALSE,
https://openalex.org/W3158229010,"Hochschule Hannover - University of Applied Sciences and Arts, Faculty III - Media, Information, and Design, Hanover, Germany. vanessa.struever@hs-hannover.de",,Hochschule Hannover,TRUE,
https://openalex.org/W3042901659,"Medizinsiche Hochschule Hannover, Toxikologie, Hannover",,Hochschule Hannover,FALSE,
https://openalex.org/W4380185425,"Medizische Hochschule Hannover, HNO",,Hochschule Hannover,FALSE,
https://openalex.org/W3109686546,Klinik für kleine Klauentiere und forensische Medizin und Ambulatorische Klinik Tierärztliche Hochschule Hannover Hannover Niedersachsen Germany,,Hochschule Hannover,FALSE,
https://openalex.org/W3042901659,"Medizinsiche Hochschule Hannover, Hals-, Nasen-, und Ohrenheilkunde, Hannover",,Hochschule Hannover,FALSE,
https://openalex.org/W3043754648,"Medizinsiche Hochschule Hannover/HNO-Klinik, Deutsches Hörzentrum Hannover",,Hochschule Hannover,FALSE,
