doi,parent_name,raw_affiliation_string,fak_name,dept_name
10.2208/jscejj.23-15008,Gottfried Wilhelm Leibniz Universität Hannover,"Leibniz University Hannover, Institute for Risk and Reliability",Fakultät für Bauingenieurwesen und Geodäsie,Institut für Risiko und Zuverlässigkeit
10.1016/j.ijfatigue.2022.107128,Gottfried Wilhelm Leibniz Universität Hannover,"Leibniz University Hannover, Institute for Steel Construction ForWind, Hannover, Germany",Fakultät für Bauingenieurwesen und Geodäsie,Institut für Stahlbau
10.2969/jmsj/87028702,Gottfried Wilhelm Leibniz Universität Hannover,"Institut für Algebraische Geometrie, Leibniz Universität Hannover, Riemann Center for Geometry and Physics, Leibniz Universität Hannover",Fakultät für Mathematik und Physik,Institut für Algebraische Geometrie
10.1026/2191-9186/a000673,Gottfried Wilhelm Leibniz Universität Hannover,"Leibniz Universität Hannover,                     Institut für Sonderpädagogik, Deutschland",Philosophische Fakultät,Institut für Berufspädagogik und Erwachsenenbildung
10.1039/d1ta06384g,Gottfried Wilhelm Leibniz Universität Hannover,"Institute for Solid State Physics, Laboratory of Nano and Quantum Engineering (LNQE), Leibniz University Hannover, Appelstrasse 2, Hannover 30167, Germany",Fakultät für Mathematik und Physik,Institut für Festkörperphysik
10.1016/j.procir.2024.08.131,Gottfried Wilhelm Leibniz Universität Hannover,"Institute of Transport and Automation Technology, Leibniz University Hannover, An der Universität 2, 30823 Garbsen, Germany",Fakultät für Maschinenbau,Produktionstechnisches Zentrum Hannover (PZH)
10.1038/s41598-023-48813-y,Gottfried Wilhelm Leibniz Universität Hannover,"Institute for Transport and Automation Technology, Leibniz University Hannover, Hannover, 30167, Germany",Fakultät für Maschinenbau,Produktionstechnisches Zentrum Hannover (PZH)
10.1080/22041451.2021.2013087,Gottfried Wilhelm Leibniz Universität Hannover,"Institute of Marketing and Management, Leibniz University of Hanover, Hannover, Germany",Wirtschaftswissenschaftliche Fakultät,Institut für Marketing und Management
10.1016/j.ress.2021.107972,Gottfried Wilhelm Leibniz Universität Hannover,"Institute for Risk and Reliability, Leibniz University Hannover, Hanover, Germany",Fakultät für Bauingenieurwesen und Geodäsie,Institut für Risiko und Zuverlässigkeit
10.1021/jasms.2c00348,Gottfried Wilhelm Leibniz Universität Hannover,"Leibniz University Hannover, Institute of Electrical Engineering and Measurement Technology, Department of Sensors and Measurement Technology, Appelstr. 9A, 30167 Hannover, Germany",Fakultät für Elektrotechnik und Informatik,Institut für Grundlagen der Elektrotechnik und Messtechnik
