doi,parent_name,raw_affiliation_string,fak_name,dept_name,validation,coment
10.5194/bg-17-5057-2020,Hochschule Osnabrück,"Faculty of Agricultural Sciences and Landscape Architecture, University of Applied Sciences Osnabrück, Am Krümpel 31, 49090 Osnabrück, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,,TRUE,
10.1055/a-2006-9946,Hochschule Osnabrück,"Hochschule Osnabrück, Fakultät Wirtschafts- und Sozialwissenschaften, Osnabrück, Deutschland",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1016/j.jbmt.2020.12.036,Hochschule Osnabrück,"Department of Physical Therapy and Movement Sciences, University of Applied Science Osnabrück, Albrechtstraße 30, 49076, Osnabrück, Germany. Electronic address: a.griefahn@hs-osnabrueck.de",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1186/s40643-022-00545-z,Hochschule Osnabrück,"Osnabrück University of Applied Sciences, Osnabrück, Germany. anica.mertins@hs-osnabrueck.de",,,TRUE,
10.1177/20592043241288636,Hochschule Osnabrück,"University of Applied Sciences Osnabrueck, Osnabruck, Germany",,,TRUE,
10.1016/j.resconrec.2022.106167,Hochschule Osnabrück,"Hochschule Osnabrück, University of Applied Sciences, Albrechtstr. 30, 49076 Osnabrück",,,TRUE,
10.1007/s00482-021-00608-8,Hochschule Osnabrück,"Fakultät Wirtschafts- und Sozialwissenschaften, Physiotherapie und Rehabilitationswissenschaften, Hochschule Osnabrück, Caprivistr. 30a, 49076, Osnabrück, Deutschland",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1515/cdbme-2022-1072,Hochschule Osnabrück,"University of Applied Sciences, Osnabruck , Germany",,,TRUE,
10.13109/posi.2021.2,Hochschule Osnabrück,"Authors email:[email protected]Management-Berater und Senior Business-Coach (DBVC + IOBC) auf Top-Management-/Executive- Ebene in Dax-Unternehmen und im MittelstandGilt als Coaching-Pionier in DeutschlandGeschäftsführender Gesellschafter der Böning-Consult® GmbH Schwerpunkt neben Business- Coaching: Leadership, Veränderungsmanagement: Umsetzung von Strategie- und Reorganisationsprojekten, Stress und ResilienzDiplompsychologe und Klinischer Psychologe (DGVT)War Lehrbeauftragter an verschiedenen Universitäten / Hochschulen: Fontainebleau, Osnabrück, Freiburg, Mannheim); heute Frankfurt",,,FALSE,Paper doed not belong to Hochschule Osnabrück
10.1007/s12134-021-00849-7,Hochschule Osnabrück,"Osnabrueck University of Applied Sciences Faculty of Business Management and Social Sciences, Caprivistr. 30A, 49076, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.3727/152599524x17046754077334,Hochschule Osnabrück,"Fakult??t Wirtschafts- und Sozialwissenschaften, Hochschule Osnabrück, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1080/08869634.2024.2408032,Hochschule Osnabrück,University of Applied Sciences Osnabrück,,,TRUE,Fakultät Wirtschafts- und Sozialwissenschaften
10.3390/molecules26092647,Hochschule Osnabrück,"Department of Plant Nutrition, Osnabrück University of Applied Sciences, 49090 Osnabrück, Germany",Fakultät Agrarwissenschaften und Landschaftsarchitektur,Bereich Pflanzenernährung und Pflanzenbau,TRUE,
10.3390/app11156857,Hochschule Osnabrück,"Department of Physical Therapy and Rehabilitation Science, University of Applied Science Osnabruck, 49076 Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.3844/jssp.2021.1.13,Hochschule Osnabrück,"WISO, Hochschule Osnabrck, Germany",,,TRUE,
10.1111/joor.13823,Hochschule Osnabrück,Faculty of Economics and Social Sciences University of Applied Sciences Osnabrück  Osnabrück Germany,Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1108/ijshe-07-2023-0272,Hochschule Osnabrück,"Faculty of Business Management and Social Sciences (WiSo), Osnabrück University of Applied Sciences, Osnabrück, Germany",Fakultät Wirtschafts- und Sozialwissenschaften,,TRUE,
10.1515/ipp-2022-4252,Hochschule Osnabrück,"Laboratory of Plastics Simulation and Fiber Reinforced Plastics , University of Applied Sciences , Osnabrück , 49076 Osnabrück , Germany",Fakultät Ingenieurwissenschaften und Informatik,Laborbereich Kunststofftechnik,TRUE,
