doi,parent_name,raw_affiliation_string,fak_name,dept_name,validation,comment
10.1016/j.nbd.2021.105297,Stiftung Tierärztliche Hochschule Hannover,"Dept. of Pharmacology, Toxicology, and Pharmacy, University of Veterinary Medicine, Hannover, Germany",Institut für Pathologie,,FALSE,"Faculty name should be nstitut für Pharmakologie, Toxikologie und Pharmazie"
10.1002/jnr.25157,Stiftung Tierärztliche Hochschule Hannover,"Institute of Pharmacology, Toxicology and Pharmacy University of Veterinary Medicine Hannover Hannover Germany",Institut für Pathologie,,FALSE,"Faculty name should be nstitut für Pharmakologie, Toxikologie und Pharmazie"
10.1111/eve.13853,Stiftung Tierärztliche Hochschule Hannover,Clinic for Horses University of Veterinary Medicine Hannover  Hannover Germany,Klinik für Pferde,,TRUE,
10.3389/fvets.2023.1142500,Stiftung Tierärztliche Hochschule Hannover,"Farm for Education and Research Ruthe, University of Veterinary Medicine Hannover, Sarstedt, Germany",Lehr- und Forschungsgut Ruthe,,TRUE,Lehr- und Forschungsgut Ruthe is not in GERIT
10.1186/s12917-021-03014-5,Stiftung Tierärztliche Hochschule Hannover,"Institute for Biometry, Epidemiology and Information Processing, WHO Collaborating Centre for Research and Training for Health at the Human-Animal-Environment Interface, University of Veterinary Medicine Hannover, Hannover, Germany",Außenstelle für Epidemiologie,,TRUE,
10.3390/ani14050673,Stiftung Tierärztliche Hochschule Hannover,"Clinic for Cattle, University of Veterinary Medicine Hannover, Foundation, 30173 Hannover, Germany",Klinik für Rinder,,TRUE,
10.3389/fmars.2022.958019,Stiftung Tierärztliche Hochschule Hannover,"Department of Pathology, University of Veterinary Medicine Hannover, Foundation, Hannover, Germany",Institut für Pathologie,,TRUE,
10.1007/s10336-022-02006-y,Stiftung Tierärztliche Hochschule Hannover,"Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hannover Foundation, Hannover, Germany",Institut für Parasitologie,,TRUE,
10.1016/j.theriogenology.2022.02.026,Stiftung Tierärztliche Hochschule Hannover,"Unit for Reproductive Medicine – Clinic for Horses, University of Veterinary Medicine Hannover, Germany",Klinik für Pferde,,TRUE,
10.1055/s-0042-1749978,Stiftung Tierärztliche Hochschule Hannover,"Institut für Pathologie, Stiftung Tierärztliche
                    Hochschule Hannover",Institut für Pathologie,,TRUE,
10.3390/ijms21155289,Stiftung Tierärztliche Hochschule Hannover,"Department of Pathology, University of Veterinary Medicine Hannover, 30559 Hannover, Germany",Institut für Pathologie,,TRUE,
10.1002/vrc2.589,Stiftung Tierärztliche Hochschule Hannover,Institute for Pathology University of Veterinary Medicine Hannover  Hannover Germany,Institut für Pathologie,,TRUE,
10.3390/ani12010059,Stiftung Tierärztliche Hochschule Hannover,"Department of Pathology, University of Veterinary Medicine Hannover, Foundation, 30559 Hannover, Germany",Institut für Pathologie,,TRUE,
10.3389/fvets.2022.893013,Stiftung Tierärztliche Hochschule Hannover,"Department of Small Animal Medicine and Surgery, University of Veterinary Medicine, Hannover, Germany",Klinik für Kleintiere,,TRUE,
10.3168/jds.2021-20799,Stiftung Tierärztliche Hochschule Hannover,"Institute of Immunology, University of Veterinary Medicine, Foundation, Buenteweg 2, 30559 Hannover, Germany",Institut für Immunologie,,TRUE,
10.1038/s41559-024-02547-w,Stiftung Tierärztliche Hochschule Hannover,"Institute of Zoology, University of Veterinary Medicine Hannover, Hannover, Germany",Institut für Zoologie,,TRUE,
10.1016/j.anireprosci.2022.106945,Stiftung Tierärztliche Hochschule Hannover,"Unit for Reproductive Medicine, Clinic for Horses, University of Veterinary Medicine Hannover, Hannover, Germany",Klinik für Pferde,,TRUE,
10.1186/s12951-023-02041-8,Stiftung Tierärztliche Hochschule Hannover,"Department of Pharmacology, Toxicology and Pharmacy, University of Veterinary Medicine Hanover, Foundation, Hannover, Germany",Institut für Pathologie,,FALSE,"Faculty name should be nstitut für Pharmakologie, Toxikologie und Pharmazie"
10.1002/ece3.8347,Stiftung Tierärztliche Hochschule Hannover,"Institute for Terrestrial and Aquatic Wildlife Research (ITAW), University of Veterinary Medicine Hannover, Hannover, Germany",Institut für Terrestrische und Aquatische Wildtierforschung,,TRUE,
