doi,parent_name,raw_affiliation_string,fak_name,dept_name,validation,comment
10.4271/2023-32-0163,HAWK Hochschule für angewandte Wissenschaft und Kunst,University of Applied Sciences and Arts Hildesheim/Holzminde,,,TRUE,
10.3390/foods11182786,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Department for Knowledge and Technology Transfer, University of Applied Sciences and Arts, Hohnsen 4, 31134 Hildesheim, Germany",,,TRUE,
10.3390/ma15207129,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Engineering and Health, University of Applied Sciences and Arts, Von-Ossietzky-Straße 99, 37085 Göttingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1007/s00339-020-3347-5,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Fakultät Naturwissenschaften und Technik, Hochschule für Angewandte Wissenschaft und Kunst, Von-Ossietzky-Straße 99, 37085, Göttingen, Germany",,,TRUE,
10.1080/03071375.2020.1829374,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts, Faculty of Resource Management, Göttingen, Germany",Fakultät Ressourcenmanagement,,TRUE,
10.1111/gcb.16060,HAWK Hochschule für angewandte Wissenschaft und Kunst,Faculty of Resource Management HAWK University of Applied Sciences and Arts Göttingen Germany,Fakultät Ressourcenmanagement,,TRUE,
10.1007/s41348-024-00891-4,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty Resource Management, University of Applied Sciences and Arts, Göttingen, Germany",Fakultät Ressourcenmanagement,,TRUE,
10.1007/s00484-024-02617-5,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Resource Management, HAWK University of Applied Sciences and Arts, Göttingen, Germany",Fakultät Ressourcenmanagement,,TRUE,
10.1007/s12592-021-00372-7,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Fakultät Management, Soziale Arbeit, Bauen, HAWK Hildesheim, Holzminden, Göttingen, Haarmannplatz 3, 37603, Holzminden, Deutschland",Fakultät Ressourcenmanagement,,FALSE,Should be Fakultät soziale Arbeit und Gesundheit
10.1177/1545968321999064,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts Hildesheim/Holzminden/Goettingen, Faculty of Engineering and Health, Goettingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1007/s40664-021-00453-7,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Fakultät für Ingenieurwissenschaften und Gesundheit, HAWK Hildesheim/Holzminden/Göttingen, Göttingen, Deutschland",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1016/j.zefq.2020.03.004,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Hochschule für angewandte Wissenschaften und Kunst Coburg, Bereich Integrative Gesundheitsförderung, Coburg, Deutschland",,,FALSE,paper does not belong to HAWK
10.1080/00393630.2023.2192451,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Hochschule für Angewandte Wissenschaft und Kunst HAWK, Hildesheim/Holzminden/Göttingen, Germany",,,TRUE,
10.20448/wsr.v11i1.6268,HAWK Hochschule für angewandte Wissenschaft und Kunst,"HAWK University of Applied Sciences and Arts, Von-Ossietzky-Str. 99, 37085 Göttingen, Germany",,,TRUE,
10.1029/2024jg008043,HAWK Hochschule für angewandte Wissenschaft und Kunst,Faculty of Resource Management University of Applied Sciences and Arts  Göttingen Germany,Fakultät Ressourcenmanagement,,TRUE,
10.1055/a-2403-1703,HAWK Hochschule für angewandte Wissenschaft und Kunst,"HAWK – Hochschule für angewandte Wissenschaften und Kunst
                    Hildesheim/Holzminden/Göttingen, Fakultät Gestaltung, HAWK, Hildesheim,
                    Germany",Fakultät Gestaltung,,TRUE,
10.1007/s00339-020-03946-z,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Engineering and Health, University of Applied Sciences and Arts, Göttingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1016/j.trip.2024.101176,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Chair of Data Science, Faculty of Management, Construction and Social Work, HAWK, Haarmannplatz 3, 37603 Holzminden, Germany",Fakultät Ressourcenmanagement,,FALSE,"Should be Fakultät Management, Soziale Arbeit, Bauen"
10.1055/a-2462-8464,HAWK Hochschule für angewandte Wissenschaft und Kunst,"HAWK Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen, Deutschland",,,TRUE,
10.1016/j.compositesa.2020.105821,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts, Faculty of Natural Sciences and Technology, Von-Ossietzky-Strasse 99, 37085 Göttingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,Perhaps  Faculty of Natural Sciences and Technology is not in GERIT
10.1097/phm.0000000000001731,HAWK Hochschule für angewandte Wissenschaft und Kunst,"From the Department of Rehabilitation Medicine, Hannover Medical School, Hannover, Germany (LMG, CS, CG, AR); and University of Applied Sciences and Art, Hildesheim, Germany (TS-K)",,,TRUE,
10.3390/s24041256,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Engineering and Health, University of Applied Sciences and Arts, Von-Ossietzky-Straße 99, 37085 Göttingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.3390/f13020295,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Resource Management, University of Applied Sciences and Arts, 37077 Göttingen, Germany",Fakultät Ressourcenmanagement,,TRUE,
10.2196/58089,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts Hildesheim/Holzminden/Göttingen, Faculty of Social Work and Health",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.1186/s12891-021-04156-1,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Social Work and Health, University of Applied Sciences and Arts (HAWK), Hildesheim, Germany. axel.schaefer@hawk.de",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.1111/ina.12851,HAWK Hochschule für angewandte Wissenschaft und Kunst,Lighting Design HAWK University of Applied Sciences and Arts Hildesheim Germany,Fakultät Gestaltung,,TRUE,
10.1088/1361-6463/ad35d3,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Engineering and Health, HAWK University of Applied Sciences, Von-Ossietzky-Str. 99, Göttingen, 37085, GERMANY",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.3389/fgstr.2023.1283052,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Engineering and Health, University of Applied Sciences and Arts, Göttingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1515/sjpain-2020-0122,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Social Work and Health, HAWK-University of Applied Sciences and Arts , Hildesheim , Germany",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.1016/j.apsusc.2023.158669,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Engineering and Health, University of Applied Sciences and Arts, 37085 Göttingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1186/s12936-020-03278-6,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Science and Art, HAWK University, Gottingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,FALSE,Faculty Faculty of Science and Art in not in GERIT
10.1186/s13102-022-00580-5,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Social Work and Health, HAWK-University of Applied Sciences and Arts, Hildesheim, Germany",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.14522/darwiniana.2021.91.925,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Resource Management, University of Applied Sciences and Arts-HAWK, Büsgenweg 1a, 37077 Göttingen, Germany",Fakultät Ressourcenmanagement,,TRUE,
10.1186/s12891-021-04156-1,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Social Work and Health, University of Applied Sciences and Arts (HAWK), Hildesheim, Germany",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.1186/s40712-024-00192-6,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts, Faculty of Engineering and Health, Von-Ossietzky-Strasse 99, Göttingen, 37085, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1055/a-1405-5023,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Hochschule für angewandte Wissenschaft und Kunst (HAWK) Hildesheim, Fakultät Soziale Arbeit und Gesundheit, Studiengänge Ergotherapie, Logopädie und Physiotherapie, Hildesheim, Deutschland",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.1016/j.energy.2020.117812,HAWK Hochschule für angewandte Wissenschaft und Kunst,"HAWK University of Applied Sciences and Arts Hildesheim/Holzminden/Göttingen, Germany",,,TRUE,
10.1177/1759720x20964139,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts Hildesheim/Holzminden/Gottingen, Hildesheim, Niedersachsen, Germany",,,TRUE,
10.1007/s10143-020-01401-4,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Osnabrück University of Applied Science, Caprivistraße 1, Osnabrück, 49076, Germany. dorothee.mielke@med.uni-goettingen.de",,,FALSE,Paper does not belong to HAWK
10.1186/s12891-021-04481-5,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Social Work and Health, University of Applied Science and Art, Hildesheim, Germany",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.2478/rtuect-2020-0024,HAWK Hochschule für angewandte Wissenschaft und Kunst,"HAWK Hildesheim/Holzminden/Göttingen University of Applied Sciences and Arts , Germany",,,TRUE,
10.1016/j.fecs.2024.100244,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts, Faculty of Resource Management, Göttingen, Germany",Fakultät Ressourcenmanagement,,TRUE,
10.1186/s12891-022-05329-2,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Social Work and Health, University of Applied Sciences and Arts Hildesheim, Hildesheim, Germany",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.1055/a-2188-6299,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Hochschule für angewandte Wissenschaft und Kunst, Soziale Arbeit und Gesundheit, Hildesheim, Deutschland",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.24843/ujlc.2023.v07.i01.p02,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Management, Social Work, and Construction, University of Applied Science and Art, Holzminden, Germany",Fakultät Ressourcenmanagement,,TRUE,
10.1055/a-2169-9530,HAWK Hochschule für angewandte Wissenschaft und Kunst,"HAWK: Hochschule für angewandte Wissenschaft und Kunst
                    Hildesheim, Fakultät für Soziale Arbeit und
                    Gesundheit",Fakultät soziale Arbeit und Gesundheit,,TRUE,
10.1038/s41467-020-16837-x,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts Hildesheim/Holzminden/Goettingen (HAWK), Von-Ossietzky-Straße 99, 37085, Göttingen, Germany",,,TRUE,
10.3390/f11090919,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Resource Management, HAWK University of Applied Sciences and Arts, Büsgenweg 1a, 37077 Göttingen, Germany",Fakultät Ressourcenmanagement,,TRUE,
10.1016/j.sab.2022.106595,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts, Faculty of Engineering and Health, 37085 Göttingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1038/s41597-022-01626-6,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Resource Management, HAWK University of Applied Sciences and Arts, Büsgenweg 1?A, 37077, Goettingen, Germany. jhomeie@gwdg.de",Fakultät Ressourcenmanagement,,TRUE,
10.1007/s12268-021-1582-8,HAWK Hochschule für angewandte Wissenschaft und Kunst,"HAWK, Fakultät Gestaltung, Hildesheim, Deutschland",Fakultät Gestaltung,,TRUE,
10.3390/children11050604,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Engineering and Health Göttingen, University of Applied Sciences and Arts, 37077 Göttingen, Germany",Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1002/chem.202000192,HAWK Hochschule für angewandte Wissenschaft und Kunst,University of Applied Sciences and Arts Laboratory of Laser and Plasma Technologies  Von-Ossietzky-Strasse 99 37085 Göttingen Germany,Fakultät Ingenieurwissenschaften und Gesundheit,,TRUE,
10.1109/jstars.2024.3454271,HAWK Hochschule für angewandte Wissenschaft und Kunst,"University of Applied Sciences and Arts (HAWK), G&#x00F6;ttingen, Germany",,,TRUE,
10.3390/f15101828,HAWK Hochschule für angewandte Wissenschaft und Kunst,"Faculty of Resource Management, HAWK University of Applied Sciences and Arts, Daimlerstraße 2, 37075 Göttingen, Germany",Fakultät Ressourcenmanagement,,TRUE,
