id,raw_affiliation_string,in_oal_missing,in_kb_missing
https://openalex.org/W4303470830,"Leibniz Lab for Relational Communication Research, Leibniz University Hannover, Hanover, Germany","Hochschule für Musik, Theater und Medien Hannover",
https://openalex.org/W3172559749,"Institute of Music Physiology and Musicians' Medicine, Emmichplatz 1, 30175 Hannover, Germany","Hochschule für Musik, Theater und Medien Hannover",
https://openalex.org/W4220796252,"University of Veterinary Medicine Hannover, ITZ, Division of Ecology and Evolution, Bünteweg 17d, 30559 Hannover, Germany 2American Museum of Natural History, Division of Invertebrate Zoology, Central Park West, W 81st Street, New York, NY 10024, USA","Hochschule für Musik, Theater und Medien Hannover",
https://openalex.org/W3090574372,"Institute of Animal Ecology, Division of Molecular Evolution, University of Veterinary Medicine Hannover, Foundation, Hannover, Germany.; Sackler Institute for Comparative Genomics, American Museum of Natural History, New York, NY 10024, USA","Hochschule für Musik, Theater und Medien Hannover",
https://openalex.org/W4386728680,"Leibniz Lab for Relational Communication Research, Leibniz University Hannover, Hannover, Germany;","Hochschule für Musik, Theater und Medien Hannover",
https://openalex.org/W3172559749,"Institute of Music Physiology and Musicians' Medicine, Emmichplatz 1, 30175 Hannover, Germany; Universitätsklinik für Neurochirurgie, Otto-von-Guericke-Universität Magdeburg, Leipziger Str. 44, 39120 Magdeburg, Germany","Hochschule für Musik, Theater und Medien Hannover",
https://openalex.org/W4220796252,"University of Veterinary Medicine Hannover, ITZ, Division of Ecology and Evolution, Bnteweg 17d, 30559 Hannover, Germany 2American Museum of Natural History, Division of Invertebrate Zoology, Central Park West, W 81st Street, New York, NY 10024, USA. wiebke.feindt@ecolevol.de","Hochschule für Musik, Theater und Medien Hannover",
https://openalex.org/W4220796252,"University of Veterinary Medicine Hannover, ITZ, Division of Ecology and Evolution, Bnteweg 17d, 30559 Hannover, Germany 2American Museum of Natural History, Division of Invertebrate Zoology, Central Park West, W 81st Street, New York, NY 10024, USA. ITZForschungssttte Alter Bahnhof Schapen Braunschweig, University of Veterinary Medicine Hannover, Hannover/Braunschweig, Germany. . heike.hadrys@ecolevol.de","Hochschule für Musik, Theater und Medien Hannover",
https://openalex.org/W4220796252,"University of Veterinary Medicine Hannover, ITZ, Division of Ecology and Evolution, Bünteweg 17d, 30559 Hannover, Germany 2American Museum of Natural History, Division of Invertebrate Zoology, Central Park West, W 81st Street, New York, NY 10024, USA. ITZ—Forschungsstätte 'Alter Bahnhof Schapen' Braunschweig, University of Veterinary Medicine Hannover, Hannover/Braunschweig, Germany","Hochschule für Musik, Theater und Medien Hannover",
https://openalex.org/W3092401434,"HMTM Hannover, Germany",,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W3126775052,"University of Veterinary Medicine Hanover, Anatomy, Bischofsholer Damm 15, 30539 Hanover, Germany",,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4296613290,University of Applied Sciences FHM  Hanover Germany,Hochschule Hannover,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4402461782,"BioWissKomm, Hannover, Deutschland",,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4400841638,musical de E. Hanslick,,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4395465825,Practice Dr. med. Christiane Handrick  Berlin Germany,,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4381662352,"FHM University of Applied Sciences Campus Hanover, Germany",Hochschule Hannover,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4385185861,Practice Dr. med. Christiane Handrick  Berlin Germany,,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W3134200074,"Institut für Musikphysiologie und Musiker-Medizin, Hochschule für Musik, Drama und Medien, Neues Haus 1, 30161 Hannover, Germany. Tel +49 511 3100 553. eckart.altenmueller@hmtm-hannover.de",,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4406346362,Hana Musik Yogyakarta,,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4214846508,"Institut für Musikphysiologie und Musikermedizin, Hochschule für Musik, Drama und Medien, Han-nover, Germany",,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4323305308,"Institut für Musikphysiologie und Musiker-Medizin, Hannover, Germany",,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4385304921,"Allgemeines Handbuch der Film-Musik, Bd. 1. Berlin 1927, S. 45",,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4400088363,"Institute of Music Physiology and Musicians' Medicine of the University of Music, Drama and Media, Hannover, DE",,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W3158229010,"Hochschule Hannover - University of Applied Sciences and Arts, Faculty III - Media, Information, and Design, Hanover, Germany. vanessa.struever@hs-hannover.de",,"Hochschule für Musik, Theater und Medien Hannover"
https://openalex.org/W4309244149,"Center for Health Economics Research Hanover (CHERH), Hanover, Germany. stolz.maike@mh-hannover.de",,"Hochschule für Musik, Theater und Medien Hannover"
