id,raw_affiliation_string,in_oal_missing,in_kb_missing
https://openalex.org/W173619620,"Universität Lüneburg Zentrum für Angewandte Gesundheits wissenschaften Lüneburg, Germany",Leuphana Universität Lüneburg,
https://openalex.org/W3175971255,"Center for the Study of Democracy, Leuphana University, Lueneburg, Germany",Leuphana Universität Lüneburg,
https://openalex.org/W4309007273,"Climate Service Center Germany (GERICS), Helmholtz-Zentrum Hereon GmbH, Hamburg, Germany; Faculty of Sustainability, Social-Ecological Systems Institute (SESI), Leuphana University, Lüneburg, Germany",Leuphana Universität Lüneburg,
https://openalex.org/W2982542118,"German Institute for Economic Research (DIW Berlin), Germany, Leuphana University Lueneburg, Germany",Leuphana Universität Lüneburg,
https://openalex.org/W4213312290,"Faculty of Sustainability, Leuphana University, Lüneburg, Germany and European Institute for Energy Research, Karlsruhe, Germany",Leuphana Universität Lüneburg,
https://openalex.org/W4391597708,"Institute for Production Technology and Systems (IPTS), Universitätsallee 1, 21335, Lüneburg, Germany",Leuphana Universität Lüneburg,
https://openalex.org/W3125899898,"German Institute for Economic Research (DIW Berlin); Leuphana University Lneburg, Germany.",Leuphana Universität Lüneburg,
https://openalex.org/W4385074246,"DIW Berlin, Leuphana Universität",Leuphana Universität Lüneburg,
https://openalex.org/W4389318947,"Wuppertal Institut für Klima, Umwelt, Energie gGmbH, Forschungsbereich Innovationslabore, Döppersberg 19, 42103 Wuppertal, Deutschland und Leuphana Universität, Institut für Ethik und transdisziplinäre Nachhaltigkeitsforschung, Universitätsallee 1, 21335 Lüneburg, Deutschland",Leuphana Universität Lüneburg,
https://openalex.org/W4392816665,"Sabien Dobbelaere is Associate Professor of Economics at Vrije Universiteit Amsterdam and Research Fellow to Tinbergen Institute and IZA Institute of Labor Economics. Boris Hirsch is Professor of Economics at Leuphana University of Lüneburg and Research Fellow to Halle Institute for Economic Research (IWH) and IZA Institute of Labor Economics. Steffen Mueller is Head of the Department for Structural Change and Productivity at Halle Institute for Economic Research (IWH), Professor of Economics at",Leuphana Universität Lüneburg,
https://openalex.org/W3110154241,"German Institute for Tourism Research at the West Coast University of Applied Sciences, Heide and Leuphana University Lüneburg, Germany",Leuphana Universität Lüneburg,
