id,raw_affiliation_string,in_oal_missing,in_kb_missing
https://openalex.org/W4210682849,"Gesundheits-und Kinderkrankenpflegerin B.A. Erziehungswissenschaft Krankenpflegeschule St. Bernward Krankenhaus Treibestraße 9, 31134 Hildesheim",Stiftung Universität Hildesheim,
https://openalex.org/W4378212728,Institut für Informationswissenschaft und Sprachtechnologie Universitätsplatz 1 Hildesheim Deutschland,Stiftung Universität Hildesheim,
https://openalex.org/W4386501781,"Georg-August University of Göttingen, Institute of Anatomy and Embryology, University Medical Center, Germany & University of Hildesheim, Institute of Biology and Chemistry, Germany",Stiftung Universität Hildesheim,
https://openalex.org/W3027878312,"Hildesheim, Deutschland",,Stiftung Universität Hildesheim
https://openalex.org/W3005912076,"Hildesheim, Deutschland",,Stiftung Universität Hildesheim
https://openalex.org/W4322775331,"13Gemeinschaftspraxis Hildesheim, Germany",,Stiftung Universität Hildesheim
https://openalex.org/W4400651324,"Praxis für Rheumatologie und Osteologie, Hildesheim, Germany",,Stiftung Universität Hildesheim
https://openalex.org/W4416676126,"Gesundheitsamt Landkreis Hildesheim Nationales Referenzzentrum Masern, Mumps, Röteln, Hildesheim",,Stiftung Universität Hildesheim
https://openalex.org/W4392506531,"Gyn.-onkologische Gemeinschaftspraxis Hildesheim, Hildesheim, Germany",,Stiftung Universität Hildesheim
https://openalex.org/W4387808732,"Institute of Pathology, Institute of Pathology Hildesheim, Hildesheim, Hildesheim, Germany",,Stiftung Universität Hildesheim
https://openalex.org/W4320704269,"Department of Thoracic Surgery, Helios Klinikum Hildesheim , Hildesheim, Germany",,Stiftung Universität Hildesheim
https://openalex.org/W3010221984,"AMEOS Clinical Center Hildesheim, 31135, Hildesheim, Germany",,Stiftung Universität Hildesheim
https://openalex.org/W4224234219,"Faculty of Social Work and Health, University of Applied Sciences and Arts Hildesheim, Hildesheim, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,Stiftung Universität Hildesheim
https://openalex.org/W3092445493,"Gemeinschaftspraxis Hildesheim, Gynecology, Hildesheim, Germany",,Stiftung Universität Hildesheim
https://openalex.org/W4400290890,"Faculty of Social Work and Health, University of Applied Sciences and Arts Hildesheim, Germany",HAWK Hochschule für angewandte Wissenschaft und Kunst,Stiftung Universität Hildesheim
https://openalex.org/W4404697191,Department of Dermatology Venereology and Allergology Helios Medical Center  Hildesheim Germany,,Stiftung Universität Hildesheim
