id,raw_affiliation_string,in_oal_missing,in_kb_missing
https://openalex.org/W3083572411,"Caprivistr. 30A, 49076, Osnabrück, Deutschland",Universität Vechta,
https://openalex.org/W4396683679,Leibniz Centre for Agricultural Landscape Research (ZALF); University of Vechta,Universität Vechta,
https://openalex.org/W4402009694,"Margret Schumacher, Studium Germanistik und                   Geschichte für das Lehramt an Gymnasien, Diplomgerontologin                   (Universität Osnabrück, Abt. Vechta), Lehrerin an berufsbildenden                   Schulen (u.a. Schwerpunkte Ausbildung von Studierenden an Fachschulen im                   Sozialwesen, z.B. Heilerziehungspflege und Heilpädagogik)[email protected]",Universität Vechta,Universität Osnabrück
https://openalex.org/W4293569822,"VIFF Vechtaer Research Institute, Vechta, Germany",,Universität Vechta
https://openalex.org/W3179163951,"Department of Procto-Surgery, St. Marien-Krankenhaus Vechta, Vechta, Germany",,Universität Vechta
https://openalex.org/W4376872674,"Department of Procto‐Surgery and Pilonidal Sinus St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover  Vechta Germany",,Universität Vechta
https://openalex.org/W4400576501,"Department of Cardiology, St. Marienhospital Vechta , Vechta , Germany",,Universität Vechta
https://openalex.org/W3012513428,"Department of Nephrology, St. Marien Hospital Vechta GmbH, Vechta, Germany",,Universität Vechta
https://openalex.org/W3199987200,"Department of Trauma and Orthopaedics, St Marienhospital Vechta, Vechta, Germany",,Universität Vechta
https://openalex.org/W4286001424,"Surgery, St. Marienhospital Vechta, Vechta, DEU",,Universität Vechta
https://openalex.org/W4388042051,"Faculty of Education and Social Sciences, Universität Vechta, 49377 Vechta, Germany",,Universität Vechta
https://openalex.org/W3109383375,"Vechtaer Research Institute VIFF e. V., Marienstr. 6–8, 49377, Vechta, Germany",,Universität Vechta
https://openalex.org/W4311121788,"Landkreis Vechta – Amt für Umwelt und Tiefbau, Ravensberger Str. 20, 49377, Vechta, Deutschland",,Universität Vechta
https://openalex.org/W4404018165,"Department of Procto‐Surgery and Pilonidal Sinus, St. Marienhospital Vechta Academic Teaching Hospital of the MHH Hannover  Vechta Germany",,Universität Vechta
https://openalex.org/W4223547476,"Department of Surgery, St. Marienhospital Vechta, Vechta, Germany. Electronic address: ddoll@gmx.de",,Universität Vechta
https://openalex.org/W7155016106,"University of Göttingen, Institute of Geography & University of Vechta, Vechta Institute of Sustainability Transformation in Rural Areas (VISTRA)",,Universität Vechta
https://openalex.org/W4386478113,"Department of Procto-Surgery & Pilonidal Sinus, St. Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Vechta, Germany",,Universität Vechta
https://openalex.org/W3136169670,"Fakultät II-Natur- und Sozialwissenschaften Department, University of Vechta, Fach Biologie, Driverstraße 22, 49377 Vechta, Germany",,Universität Vechta
https://openalex.org/W3043811531,"Department of Procto‐Surgery St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover Vechta Germany",,Universität Vechta
https://openalex.org/W3164108304,"Chair of Landscape Ecology, University of Vecta, P.O.B. 1553, 49364, Vechta, Germany",,Universität Vechta
https://openalex.org/W4200193276,"University of Vechta, Germany",,Universität Vechta
https://openalex.org/W4321482395,"Department of Anaesthesia, St. Marienhospital Vechta, Marienstraße 6-8, 49377, Vechta, Germany",,Universität Vechta
https://openalex.org/W4387338042,"Pilonidal Research Group, Vechtaer Research Institute VIFF; Marienstr. Vechta, Germany",,Universität Vechta
https://openalex.org/W3139384403,"Department of Procto-Surgery and Pilonidal Sinus Research Group, Germany, St Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Vechta, Germany",,Universität Vechta
https://openalex.org/W4391151775,Vetanalisa,,Universität Vechta
https://openalex.org/W4402975111,"Department of Procto-Surgery & Pilonidal Sinus, St Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Marienstraße 6, 49377, Vechta, Germany",,Universität Vechta
https://openalex.org/W4206497073,"St. Marienhospital Vechta, Vechta, Deutschland",,Universität Vechta
https://openalex.org/W4212827580,"St. Marienhospital Vechta, Vechta, Deutschland",,Universität Vechta
https://openalex.org/W3129364370,"University of Vechta, Vechta, Germany",,Universität Vechta
https://openalex.org/W4387937395,"Janta Vedic Collage, Baghpat-250611, India",,Universität Vechta
https://openalex.org/W4392858113,"Radiologie Vechta, Marienstraße 6-8, 49377 Vechta, Germany",,Universität Vechta
https://openalex.org/W4206609512,"Department of Procto-Surgery, St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover, Vechta, Germany",,Universität Vechta
https://openalex.org/W4402921219,"Malteser Lohne e.V., Lohne, Landkreis Vechta, Deutschland",,Universität Vechta
https://openalex.org/W3109383375,"Department of Procto-Surgery, St. Marienhospital Vechta, Academic Teaching Hospital of the Hannover University, Marienstr. 6–8, 49377, Vechta, Germany",,Universität Vechta
https://openalex.org/W4394841347,"Department of Procto-Surgery & Pilonidal Sinus, St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover, Marienstraße 6–8, 49377, Vechta, Germany",,Universität Vechta
https://openalex.org/W3092287882,"St. Marienhospital Vechta, Vechta, Deutschland",,Universität Vechta
https://openalex.org/W4311015503,"St. Marienhospital Vechta, Anesthesia and Intensiv Care, University of Münster, Marienstr. 4-6, 49377 Vechta, Germany",,Universität Vechta
https://openalex.org/W4313640823,Radiologie Vechta Vechta Germany,,Universität Vechta
https://openalex.org/W3139384403,"Department of Procto-Surgery and Pilonidal Sinus Research Group, Germany, St Marienhospital Vechta, Academic Teaching Hospital of the Medical School Hannover, Vechta, Germany. Dietrich.Doll@kk-om.de",,Universität Vechta
https://openalex.org/W4311121788,"Landkreis Vechta – Amt für Umwelt und Tiefbau, Ravensberger Str. 20, 49377, Vechta, Deutschland",,Universität Vechta
https://openalex.org/W4223547476,"Department of Surgery, St. Marienhospital Vechta, Vechta, Germany",,Universität Vechta
https://openalex.org/W3104582170,University of Vechta,,Universität Vechta
https://openalex.org/W4402975111,"Department of Procto-Surgery & Pilonidal Sinus, St. Marienhospital Vechta, Academic Teaching Hospital of the MHH Hannover, Vechta, Germany",,Universität Vechta
https://openalex.org/W3205621255,Vetsch),,Universität Vechta
https://openalex.org/W3164720858,"Department of Procto-Surgery, St. Marien-Krankenhaus Vechta, Teaching Hospital of the Hannover University, 49377, Vechta, Germany",,Universität Vechta
https://openalex.org/W4402895536,"Klinik für Gynäkologie und Geburtshilfe, St. Marienhospital Vechta, Akademisches Lehrkrankenhaus der MHH Hannover, Vechta, Deutschland",,Universität Vechta
https://openalex.org/W3199987200,"Department of Surgery, St Marienhospital Vechta, Vechta, Germany",,Universität Vechta
https://openalex.org/W4322487530,"Vechtaer Institut für Forschungsförderung, VIFF e.V., Vechta, Germany. doctor.safadi@gmail.com",,Universität Vechta
https://openalex.org/W3137773001,St. Marienhospital Vechta  Vechta Germany,,Universität Vechta
https://openalex.org/W3192439478,"Department of Anesthesiology and Intensive Care Medicine, Marienhospital Vechta, Vechta, Germany",,Universität Vechta
