id,raw_affiliation_string,in_oal_missing,in_kb_missing,validation,comment
https://openalex.org/W3096159537,"Institute for Electrical Energy Storage Technology, Technical University of Munich, Arcisstr. 21, 80333 Munich, Germany",Technische Universität Clausthal,,False,TU München
https://openalex.org/W3185886612,"Research Center Energy Storage Technologies (EST), TU Clausthal, Am Stollen 19A, Goslar 38640, Germany",Technische Universität Clausthal,,True,
https://openalex.org/W4396926156,Institute of Energy Research and Physical Technologies University of Technology Clausthal Am Stollen 19B 38640 Goslar Germany,Technische Universität Clausthal,,True,
https://openalex.org/W4383736459,"Department Electrical Energy Storage Technology, Technische Universität Berlin, Einsteinufer 11, 10587 Berlin, Germany",Technische Universität Clausthal,,False,TU Berlin
https://openalex.org/W4393108979,"Technical University of Munich, School of Engineering and Design, Department of Energy and Process Engineering, Chair of Electrical Energy Storage Technology, Arcissstr. 21, Munich, 80333, Bavaria, Germany",Technische Universität Clausthal,,False,TU München
https://openalex.org/W3082377385,"Technical University of Munich, Institute for Electrical Energy Storage Technology, Arcisstraße 21, 80333, Munich, Germany",Technische Universität Clausthal,,False,TU München
https://openalex.org/W3129148582,"Institute of Electrical Energy Storage Technology (EES), Technical University of Munich (TUM), 80333 Munich, Germany",Technische Universität Clausthal,,False,TU München
https://openalex.org/W4220653359,"Department of Energy and Automation Technology, Electrical Energy Storage Technology, Technical University of Berlin, Einsteinufer 11, 10587 Berlin, Germany",Technische Universität Clausthal,,False,TU Berlin
https://openalex.org/W4386131022,"Technische Universität Berlin, Department of Electrical Energy Storage Technology, Germany",Technische Universität Clausthal,,False,TU Berlin
https://openalex.org/W4321596847,"Electrical Energy Storage Technology (EET), Institute of Energy and Automation, Technische Universität Berlin, Einsteinufer 11, D-10587 Berlin, Germany",Technische Universität Clausthal,,False,TU Berlin
https://openalex.org/W4320351978,"Technical University of Munich, School of Engineering and Design, Department of Energy and Process Engineering, Institute for Electrical Energy Storage Technology, Arcissstr. 21, 80333 Munich, Germany",Technische Universität Clausthal,,False,TU München
