doi,parent_name,raw_affiliation_string,fak_name,dept_name
10.1016/j.psj.2023.103214,Hochschule Hannover,"Hochschule Hannover - University of Applied Sciences and Arts, Faculty I – Electrical Engineering and Information Technology, Hannover, Germany",Fakultät I - Elektro- und Informationstechnik,
10.1016/j.curtheres.2021.100643,Hochschule Hannover,"Hochschule Hannover, Expo Plaza 12, 30539 Hannover","Fakultät III - Medien, Information und Design",
10.3233/idt-210194,Hochschule Hannover,"Faculty IV, Department of Computer Science, University of Applied Sciences and Arts Hannover, Hannover, Germany",Fakultät IV - Wirtschaft und Informatik,
10.1386/fspc_00209_1,Hochschule Hannover,ISNI: 0000000097529146 University of Education Freiburg and University of Applied Sciences and Arts Hannover,,
10.1007/s12054-022-00542-8,Hochschule Hannover,"Hochschule Hannover, Hannover, Deutschland",,
10.1002/pamm.202300219,Hochschule Hannover,"Institute of Engineering Design, Mechatronics and Electromobility Hannover University of Applied Sciences and Arts  Ricklinger Stadtweg 120 Hannover Germany",Fakultät II - Maschinenbau und Bioverfahrenstechnik,
10.1515/cdbme-2024-2078,Hochschule Hannover,"Hannover University of Applied Sciences and Arts, Hanover , Germany",,
10.1055/a-1950-9637,Hochschule Hannover,"University of Applied Sciences and Arts Hannover, Faculty III – Media, Information and Design, Hannover, Germany","Fakultät III - Medien, Information und Design",
10.1016/j.chiabu.2020.104487,Hochschule Hannover,"National Centre for Early Prevention, German Youth Institute, Department of Families and Family Policies, Munich, Germany; Hannover University of Applied Sciences and Arts, Faculty V of Diaconic Studies, Health Care and Social Work, Hannover, Germany","Fakultät V - Diakonie, Gesundheit und Soziales",
10.1021/acs.jpcc.4c06342,Hochschule Hannover,"Forschungszentrum Energie - Mobilität - Prozesse, Ricklinger Stadtweg 120, Hochschule Hannover, 30459 Hannover, Germany",,
10.1007/s00481-024-00835-4,Hochschule Hannover,"Hochschule Hannover, Hannover, Deutschland",,
10.1177/00222437241248414,Hochschule Hannover,"Professor, Hannover University of Applied Sciences and Arts, Germany",,
10.14512/tatup.33.2.55,Hochschule Hannover,"Faculty V - Diaconic Studies, Health Care and Social Work, Hochschule Hannover, Hannover","Fakultät V - Diakonie, Gesundheit und Soziales",
10.1007/s00520-024-08511-5,Hochschule Hannover,"University of Applied Sciences and Arts, Hanover, Germany",,
10.1111/cgf.14676,Hochschule Hannover,University of Applied Sciences and Arts Hannover  Germany,,
10.1007/s12054-023-00593-5,Hochschule Hannover,"Hochschule Hannover, Hannover, Deutschland",,
10.1365/s40702-022-00883-8,Hochschule Hannover,"Fakultät IV, Abt. Wirtschaftsinformatik, Hochschule Hannover, Ricklinger Stadtweg 120, 30459 Hannover, Deutschland",Fakultät IV - Wirtschaft und Informatik,
