doi,parent_name,raw_affiliation_string,fak_name,dept_name,validation,comment
,Georg-August-Universität Göttingen,"University of Göttingen, Göttingen, Germany",,,True,no faculty named
10.1111/desc.13097,Georg-August-Universität Göttingen,Department of Economic and Social Psychology University of Göttingen Göttingen Germany,,,False,Fakultät für Biologie und Psychologie
10.14361/zig-2020-frontmatter1102,Georg-August-Universität Göttingen,"August-Universität Göttingen),",,,True,no faculty named
10.3389/fmicb.2022.782175,Georg-August-Universität Göttingen,"Institute of Veterinary Medicine, Burckhardtweg, University of Göttingen, Göttingen, Germany",Fakultät für Agrarwissenschaften,Department Nutztierwissenschaften,True,
10.1021/acsami.1c06404,Georg-August-Universität Göttingen,"Georg-August Universität, Institut für Organische und Biomolekulare Chemie, Tammannstaße 2, 37077 Göttingen, Germany",Fakultät für Chemie,Institut für Physikalische Chemie,False,wrong dept
10.1007/s44187-023-00053-9,Georg-August-Universität Göttingen,"Department of Animal Sciences, University of Göttingen, Göttingen, Germany",Fakultät für Agrarwissenschaften,Department Nutztierwissenschaften,True,
10.1111/icad.12638,Georg-August-Universität Göttingen,"Functional Agrobiodiversity, Department of Crop Sciences University of Göttingen Göttingen Germany",Fakultät für Agrarwissenschaften,Department für Nutzpflanzenwissenschaften,True,
10.1093/ser/mwab008,Georg-August-Universität Göttingen,"Faculty of Economic Sciences, University of Göttingen, Platz der Göttinger Sieben 3, Göttingen 37073, Germany",Wirtschaftswissenschaftliche Fakultät,,True,
10.1080/00318884.2024.2306656,Georg-August-Universität Göttingen,"Abt. EPSAG, Universitaet Goettingen, Nikolausberger Weg 18, 37073 Goettingen, Germany",,,False,Fakultät für Biologie und Psychologie
10.1111/1746-692x.12321,Georg-August-Universität Göttingen,University of Goettingen  Germany,,,True,no faculty named
10.1002/cphc.202300091,Georg-August-Universität Göttingen,Institute for Physical Chemistry Tammanstraße 6 37077 Göttingen Germany,Fakultät für Chemie,Institut für Physikalische Chemie,True,
10.3390/pathogens11040461,Georg-August-Universität Göttingen,"Plant Pathology and Crop Protection, University of Goettingen, 37077 Goettingen, Germany",Fakultät für Agrarwissenschaften,Department für Nutzpflanzenwissenschaften,True,
10.1108/jcm-10-2019-3470,Georg-August-Universität Göttingen,"Department of Agricultural Economics and Rural Development, Georg-August-Universität Göttingen, Göttingen, Germany",Fakultät für Agrarwissenschaften,Department für Agrarökonomie und Rurale Entwicklung,True,
10.1016/j.foodqual.2023.104839,Georg-August-Universität Göttingen,"Department of Agricultural Economics and Rural Development, University of Goettingen, Göttingen, Germany",Fakultät für Agrarwissenschaften,Department für Agrarökonomie und Rurale Entwicklung,True,
10.1016/j.euroecorev.2024.104926,Georg-August-Universität Göttingen,"University of Goettingen, Department of Economics, Platz der Goettinger Sieben 3, 37073 Goettingen, Germany",Wirtschaftswissenschaftliche Fakultät,Department für VWL,True,
10.5194/nhess-22-4011-2022,Georg-August-Universität Göttingen,"Faculty of Geosciences and Geography, Georg-August-UniversitÃ¤t GÃ¶ttingen, 37077 GÃ¶ttingen, Germany",Fakultät für Geowissenschaften und Geographie,,True,
10.1186/s12913-023-09288-9,Georg-August-Universität Göttingen,"University of Goettingen, Göttingen, Germany",,,True,no faculty named
10.1111/brv.12782,Georg-August-Universität Göttingen,Centre of Biodiversity and Sustainable Land Use (CBL) University of Goettingen  Büsgenweg 1 37077 Goettingen Germany,Zentrum für Biodiversität und Nachhaltige Landnutzung,,True,
10.1021/acs.jctc.2c01146,Georg-August-Universität Göttingen,"Institut für Physikalische Chemie, Theoretische Chemie, Universität Göttingen, Tammannstraße 6, 37077 Göttingen, Germany",Fakultät für Chemie,Institut für Physikalische Chemie,True,
10.1002/ejic.202100373,Georg-August-Universität Göttingen,Universität Göttingen Institut für Anorganische Chemie  Tammannstrasse 4 37077 Göttingen Germany,Fakultät für Chemie,Institut für Anorganische Chemie,True,
10.1515/hzhz-2022-1457,Georg-August-Universität Göttingen,"Georg-August-Universität Göttingen , Seminar für Mittlere und Neuere Geschichte, Kulturwissenschaftliches Zentrum , Göttingen , 37073 , Germany",Philosophische Fakultät,Seminar für Mittlere und Neuere Geschichte,True,
10.1007/s12665-021-09519-4,Georg-August-Universität Göttingen,"Department of Applied Geology, Georg August University, Goettingen, Germany",Fakultät für Geowissenschaften und Geographie,Geowissenschaftliches Zentrum (GZG),True,
10.1108/scm-11-2022-0448,Georg-August-Universität Göttingen,"Department of Agricultural Economics and Rural Development, University of Göttingen, Göttingen, Germany and Department of Agricultural Economics, Agrifood Chain Management, Humboldt Universität zu Berlin, Berlin, Germany",Fakultät für Agrarwissenschaften,Department für Agrarökonomie und Rurale Entwicklung,True,
10.3897/bdj.8.e55275,Georg-August-Universität Göttingen,"Centre of Biodiversity and Sustainable Land Use (CBL), University of Goettingen, Goettingen, Germany Centre of Biodiversity and Sustainable Land Use (CBL), University of Goettingen Goettingen Germany",Zentrum für Biodiversität und Nachhaltige Landnutzung,,True,
10.1186/s12864-022-08822-z,Georg-August-Universität Göttingen,"Johann-Friedrich-Blumenbach-Institute for Zoology and Anthropology, Dept. of Developmental Biology, Georg-August-University Goettingen, GZMB, Ernst-Caspari-Haus, Goettingen, Germany",Fakultät für Biologie und Psychologie,Johann-Friedrich-Blumenbach Institut für Zoologie und Anthropologie,True,
10.1016/j.ecolecon.2020.106718,Georg-August-Universität Göttingen,"Department of Agricultural Economics and Rural Development, University of Goettingen, Platz der Goettinger Sieben 5, 37073 Goettingen, Germany",Fakultät für Agrarwissenschaften,Department für Agrarökonomie und Rurale Entwicklung,True,
10.1039/d0ra02281k,Georg-August-Universität Göttingen,"Woehler Research Institute for Sustainable Chemistry (WISCh), Georg-August-University Goettingen, Tammannstr. 2, 37077 Goettingen, Germany",Fakultät für Chemie,Friedrich-Wöhler-Forschungsinstitut für Nachhaltige Chemie,True,
10.1016/j.jsg.2020.104199,Georg-August-Universität Göttingen,"Geoscience Centre, Georg–August–Universität Göttingen, Göttingen, Germany",Fakultät für Geowissenschaften und Geographie,Geowissenschaftliches Zentrum (GZG),True,
10.1063/1.5138641,Georg-August-Universität Göttingen,"Universität Göttingen, Institut für Anorganische Chemie 3 , Tammannstraße 4, 37077 Göttingen, Germany",Fakultät für Chemie,Institut für Anorganische Chemie,True,
10.1073/pnas.2307220121,Georg-August-Universität Göttingen,"Department of Agricultural Economics and Rural Development, University of Göttingen, Göttingen 37073, Germany",Fakultät für Agrarwissenschaften,Department für Agrarökonomie und Rurale Entwicklung,True,
10.1007/s10530-021-02539-y,Georg-August-Universität Göttingen,"Centre of Biodiversity and Sustainable Land Use, Büsgenweg 1, 37077, Göttingen, Germany",Zentrum für Biodiversität und Nachhaltige Landnutzung,,True,
10.1021/acscatal.2c01712,Georg-August-Universität Göttingen,"Service Unit for Metabolomics and Lipidomics, Goettingen Center for Molecular Biosciences (GZMB), University of Goettingen, D-37077 Goettingen, Germany",Fakultät für Biologie und Psychologie,Institut für Mikrobiologie und Genetik,True,
10.1016/j.animal.2022.100655,Georg-August-Universität Göttingen,"Department of Animal Sciences, Functional Breeding, Georg-August-University Göttingen, Burckhardtweg 2, 37077 Göttingen, Germany; Center for Integrated Breeding Research, Georg-August-University Göttingen, Carl-Sprengel-Weg 1, 37075 Göttingen, Germany",Center for Integrated Breeding Research (CiBreed),,True,Fakultät für Agrarwissenschaften
10.1515/fmst-2021-0011,Georg-August-Universität Göttingen,"Georg-August-Universität Göttingen Zentrum für Mittelalter- und Frühneuzeitforschung, Abteilung für Lateinische Philologie des Mittelalters und der Neuzeit Humboldtallee 19, 37073 Göttingen Germany",Philosophische Fakultät,Zentrum für Mittelalter- und Frühneuzeitforschung,True,
10.1002/pan3.10629,Georg-August-Universität Göttingen,Department of Agricultural Economics and Rural Development Georg‐August‐University  Göttingen Germany,Fakultät für Agrarwissenschaften,Department für Agrarökonomie und Rurale Entwicklung,True,
