doi;parent_name;raw_affiliation_string;fak_name;dept_name;validation;comment
10.1016/j.techfore.2023.122981;Universität Vechta;Department of Geography, Faculty II, University of Vechta, Vechta, Germany;Fakultät II;Fach Geographie;True;
10.3390/su141912327;Universität Vechta;Department of Sport Science, University of Vechta, 49377 Vechta, Germany;Fakultät II;Fach Sportwissenschaft;True;
10.1016/j.landusepol.2023.106623;Universität Vechta;Geography–Faculty II, University of Vechta, Driverstr. 22, 49377 Vechta, Germany;Fakultät II;Fach Geographie;True;
10.1007/s10671-023-09332-9;Universität Vechta;Developmental Psychology in Education, Faculty of Education and Social Sciences, University of Vechta, Driverstr. 22, 49377, Vechta, Germany;Fakultät I;Lehr- und Forschungseinheit Pädagogische Psychologie;True;
10.21240/mpaed/44/2021.11.02.x;Universität Vechta;Universität Vechta;;;True;no faculty named
10.3389/fpsyg.2020.01723;Universität Vechta;Institute for Gerontology, University of Vechta, Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.1177/01650254221077334;Universität Vechta;University of Vechta, Germany;;;True;no faculty named
10.1093/ej/ueaa038;Universität Vechta;University of Vechta;;;True;no faculty named
10.1002/smj.3688;Universität Vechta;University of Vechta  Vechta Germany;;;True;no faculty named
10.15804/rop2021107;Universität Vechta;Faculty III -Humanities and Cultural Studies, Institute of Catholic Th eology, University of Vechta, cypri-;Fakultät II;Fach Kulturwissenschaften;False;wrong dept
10.1515/fjsb-2022-0039;Universität Vechta;Universität Vechta Vechta Deutschland;;;True;no faculty named
10.1186/s12302-023-00826-0;Universität Vechta;Chair of Landscape Ecology, University of Vechta, P.O.B. 1553, 49364, Vechta, Germany;Fakultät II;Fach Geographie;True;
10.1515/hzhz-2021-1325;Universität Vechta;Universität Vechta , Professur für Geschichte der Vormoderne , Vechta , 49377 , Germany;Fakultät II;Fach Geschichtswissenschaft;True;
10.1080/00131857.2021.1972413;Universität Vechta;University of Vechta, Vechta, Germany;;;True;no faculty named
10.1007/s10683-021-09715-w;Universität Vechta;Faculty of Education and Social Sciences, University of Vechta, Neuer Markt 32, 49377, Vechta, Germany;Fakultät I;;True;
10.1111/aab.12681;Universität Vechta;University of Vechta  Vechta Germany;;;True;no faculty named
10.15421/192117;Universität Vechta;Lecturer in Business Ethics, University of Vechta, Vechta, Germany;Fakultät I;Fach Management sozialer Dienstleistungen;?;
10.14786/flr.v10i1.955;Universität Vechta;University of Vechta, Germany;;;True;no faculty named
10.1007/s12187-022-09947-z;Universität Vechta;Faculty of Social Work, University of Vechta, Vechta, Germany;Fakultät I;Fach Soziale Arbeit;True;
10.13109/erbi.2023.69.2.78;Universität Vechta;Universität Vechta Deutschland;;;True;no faculty named
10.1016/j.dr.2022.101021;Universität Vechta;University of Vechta, Germany;;;True;no faculty named
10.3390/ijerph17072560;Universität Vechta;Department of Ageing and Work, Institute of Gerontology, University of Vechta, 49377 Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.1007/s10531-022-02393-x;Universität Vechta;Higher Education Development Research Group, Department of Education, Faculty of Education and Social Sciences, University of Vechta, D-49377, Vechta, Germany;Fakultät I;Fach Erziehungswissenschaften;True;
10.1007/s41682-024-00189-0;Universität Vechta;Universität Vechta, Vechta, Deutschland;;;True;no faculty named
10.15388/respectus.2020.38.43.56;Universität Vechta;University of Vechta, Germany;;;True;no faculty named
10.1002/nvsm.1771;Universität Vechta;Department of Sociology University of Vechta  Vechta Germany;Fakultät I;;False;dept missing
10.1515/lex-2022-0014;Universität Vechta;Universität Vechta Germanistische Sprachwissenschaft Driverstraße 22 Vechta Deutschland;Fakultät II;Fach Germanistik;True;
10.1371/journal.pone.0261794;Universität Vechta;Institute of Gerontology, Faculty of Educational and Social Sciences, University of Vechta, Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.1016/j.concog.2023.103631;Universität Vechta;University of Vechta, Germany. Electronic address: maria.pavlova@uni-vechta.de;;;True;no faculty named
10.1007/s00548-021-00745-3;Universität Vechta;University of Vechta, Driverstrae 22, 49377 Vechta, Deutschland;;;True;no faculty named
10.1515/jbgsg-2020-0006;Universität Vechta;Universität Vechta, Germanistische Sprachwissenschaft , Driverstraße 22 , D- Vechta Germany;Fakultät II;Fach Germanistik;True;
10.55845/dtfi9420;Universität Vechta;"Leibniz Centre for Agricultural Landscape Research (ZALF); University of Vechta";;;True;no faculty named
10.1080/13607863.2024.2385450;Universität Vechta;Institute of Gerontology, University of Vechta, Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.1108/ijshe-06-2022-0186;Universität Vechta;"TU Dresden, Dresden, Germany; Department of Higher Education Development, University of Vechta, Vechta, Germany and Center for Teacher Training and School Research, Leipzig University, Leipzig, Germany";Zentrum für Lehrer*innenbildung;;?;
10.5380/sk.v21i1.91543;Universität Vechta;(Universität Vechta, Germany);;;True;no faculty named
10.3390/en15082749;Universität Vechta;Department of Business and Ethics, Faculty I Education and Social Sciences, University of Vechta, Driverstr. 22, 49377 Vechta, Germany;Fakultät I;Fach Management sozialer Dienstleistungen;True;
10.3389/feduc.2021.634473;Universität Vechta;Department of Education, Faculty of Education and Social Sciences, University of Vechta, Vechta, Germany;Fakultät I;Fach Erziehungswissenschaften;True;
10.13109/buer.2020.73.1.22;Universität Vechta;Universität Vechta Driverstraße 22 49377 Vechta Deutschland;;;True;no faculty named
10.1080/00224545.2021.1953957;Universität Vechta;University of Vechta;;;True;no faculty named
10.1007/s11625-023-01453-7;Universität Vechta;Vechta Institute of Sustainability Transformation in Rural Areas (VISTRA), University of Vechta, Große Straße 49, 49377, Vechta, Germany;Vechta Institute of Sustainability Transformation in Rural Areas;;True;
10.12795/araucaria.2020.i43.12;Universität Vechta;Universidad Michoacana de San Nicolás de Hidalgo (México) y Universität Vechta (Alemania;;;True;no faculty named
10.1017/s0144686x20001257;Universität Vechta;Institute for Gerontology, Vechta University, Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.1111/gfs.12618;Universität Vechta;University of Vechta  Vechta Germany;;;True;no faculty named
10.1075/jlp.20041.sch;Universität Vechta;University of Vechta;;;True;no faculty named
10.1002/icd.2356;Universität Vechta;Department of Educational Psychology University of Vechta Vechta Germany;Fakultät I;Fach Erziehungswissenschaften;True;
10.15294/ijcets.v11i1.69363;Universität Vechta;Department of Gerontology, University of Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.1007/s00112-024-02046-z;Universität Vechta;Fakultät I, Fach Soziale Arbeit, Universität Vechta, Driverstraße 22, 49377, Vechta, Deutschland;Fakultät I;Fach Soziale Arbeit;True;
10.1037/pag0000763;Universität Vechta;Institute of Gerontology, University of Vechta;Fakultät I;Fach Gerontologie;True;
10.1007/s10433-023-00752-3;Universität Vechta;Department of Ageing and Work, Institute for Gerontology, University of Vechta, Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.1007/s10683-020-09686-4;Universität Vechta;Faculty of Educational and Social Sciences, Social Services Management, University of Vechta, Neuer Markt 32, 49377, Vechta, Germany;Fakultät I;;False;dept missing
10.1108/jocm-03-2024-0125;Universität Vechta;University of Vechta, Vechta, Germany;;;True;no faculty named
10.46652/rgn.v5i26.747;Universität Vechta;Universidad Vechta - Germany;;;True;no faculty named
10.3390/educsci13080826;Universität Vechta;University of Vechta, 49377 Vechta, Germany;;;True;no faculty named
10.1093/eurpub/ckaa166.359;Universität Vechta;University of Vechta, Vechta, Germany;;;True;no faculty named
10.1332/23978821y2024d000000086;Universität Vechta;University of Vechta, Germany;;;True;no faculty named
10.3390/educsci13070665;Universität Vechta;University of Vechta, 49377 Vechta, Germany;;;True;no faculty named
10.1016/j.eja.2020.126116;Universität Vechta;Faculty II, University of Vechta, Driverstr. 22, D-49377, Vechta, Germany;Fakultät II;;True;
10.13109/kult.2023.23.2.248;Universität Vechta;Universität Vechta, Germanistische Literaturwissenschaft Driverstraße 22 D-49377 Vechta Deutschland;Fakultät II;Fach Germanistik;True;
10.1111/cdev.13860;Universität Vechta;University of Vechta , Vechta ,;;;True;no faculty named
10.21240/mpaed/49/2022.10.12.x;Universität Vechta;Universität Vechta;;;True;no faculty named
10.26043/giso.2023.2.3;Universität Vechta;Universität Vechta;;;True;no faculty named
10.1515/pubhef-2022-0056;Universität Vechta;Institut für Gerontologie , Universität Vechta , Driverstraße 22 , 49377 Vechta , Germany;Fakultät I;Fach Gerontologie;True;
10.1111/gfs.12618;Universität Vechta;University of Vechta, Vechta, Germany;;;True;no faculty named
10.21240/mpaed/00/2023.06.01.x;Universität Vechta;University of Vechta;;;True;no faculty named
10.3390/cli9060097;Universität Vechta;Faculty II—Geography, Institute for Spatial Analysis and Planning in Areas of Intensive Agriculture (ISPA), University of Vechta, Driverstraße 22, 49377 Vechta, Germany;Fakultät II;Fach Geographie;True;
10.1007/s11205-021-02777-6;Universität Vechta;Institute of Gerontology, University of Vechta, Driverstr. 23, 49377, Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.31244/jero.2021.02.06;Universität Vechta;(corresponding author), University of Vechta, Driverstraße 22, 49377 Vechta, Germany;;;True;no faculty named
10.1007/s11482-024-10296-y;Universität Vechta;Institute for Gerontology, University of Vechta, Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.1186/s12302-021-00458-2;Universität Vechta;Chair of Landscape Ecology, University of Vechta, Postfach 1553, 49364, Vechta, Germany;Fakultät II;Fach Geographie;True;
10.1080/00168890.2022.2074270;Universität Vechta;University of Vechta, Germany;;;True;no faculty named
10.1016/j.jecp.2023.105806;Universität Vechta;Faculty of Psychology, University of Vechta, 49377 Vechta, Germany;Fakultät I;Lehr- und Forschungseinheit Pädagogische Psychologie;True;
10.1007/s41682-022-00111-6;Universität Vechta;Fakultät I – Bildungs- und Gesellschaftswissenschaften, Erziehungswissenschaften, Universität Vechta, Vechta, Deutschland;Fakultät I;Fach Erziehungswissenschaften;True;
10.2478/jtes-2022-0003;Universität Vechta;University of Vechta , Vechta , Germany;;;True;no faculty named
10.1080/23311908.2024.2407694;Universität Vechta;Department of Sport Science, University of Vechta, Vechta, Germany;Fakultät II;Fach Sportwissenschaft;True;
10.1080/13636820.2022.2148118;Universität Vechta;University of Vechta, Faculty 1, Educational Sciences, Vechta, Germany;Fakultät I;Fach Erziehungswissenschaften;True;
10.3389/fpsyg.2020.01723;Universität Vechta;Institute for Gerontology, University of Vechta, Germany;Fakultät I;Fach Gerontologie;True;
10.34839/wpt.2021.29.1.471-478;Universität Vechta;Universität Vechta, Niemcy;;;True;no faculty named
10.3389/fnut.2024.1401715;Universität Vechta;Department II - Natural and Social Sciences, University of Vechta, Vechta, Germany;Fakultät II;;?;
10.1519/ssc.0000000000000659;Universität Vechta;University of Vechta, Institute for Sportscience, Vechta, Germany;Fakultät II;Fach Sportwissenschaft;True;
10.1007/s10531-020-02043-0;Universität Vechta;Higher Education Development Research Group, Department of Education, Faculty of Education and Social Sciences, University of Vechta, Vechta, Germany;Fakultät I;Fach Erziehungswissenschaften;True;
10.1016/j.marpolbul.2023.115721;Universität Vechta;University of Vechta, Germany;;;True;no faculty named
10.1002/lemi.202259265;Universität Vechta;Universität Vechta Driverstraße 22 49377 Vechta/D;;;True;no faculty named
10.1002/glr2.12063;Universität Vechta;University of Vechta Vechta Germany;;;True;no faculty named
